hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,convex,1,0,280,0.665600,0.663470,0.002130
algiers,0,convex,2,1,283,0.666660,0.663470,0.003190
algiers,0,convex,3,2,284,0.748720,0.747490,0.001230
algiers,1,convex,1,3,280,0.653880,0.629730,0.024150
algiers,1,convex,2,4,283,0.665900,0.629730,0.036170
algiers,1,convex,3,5,284,0.733130,0.721880,0.011250
almaden,0,convex,1,6,280,0.663300,0.656670,0.006630
almaden,0,convex,2,7,283,0.666620,0.656670,0.009950
almaden,0,convex,3,8,284,0.745920,0.742280,0.003640
almaden,1,convex,1,9,280,0.607330,0.515560,0.091770
almaden,1,convex,2,10,283,0.636670,0.515560,0.121110
almaden,1,convex,3,11,284,0.656600,0.635990,0.020610
athens,0,convex,1,12,280,0.664410,0.659930,0.004480
athens,0,convex,2,13,283,0.666640,0.659930,0.006710
athens,0,convex,3,14,284,0.747280,0.744760,0.002520
athens,1,convex,1,15,280,0.661180,0.650470,0.010710
athens,1,convex,2,16,283,0.666530,0.650470,0.016060
athens,1,convex,3,17,284,0.743280,0.737700,0.005580
auckland,0,convex,1,18,280,0.665440,0.663000,0.002440
auckland,0,convex,2,19,283,0.666660,0.663000,0.003660
auckland,0,convex,3,20,284,0.748530,0.747120,0.001410
auckland,1,convex,1,21,280,0.662340,0.653870,0.008470
auckland,1,convex,2,22,283,0.666580,0.653870,0.012710
auckland,1,convex,3,23,284,0.744740,0.740190,0.004550
belem,0,convex,1,24,280,0.657210,0.639070,0.018140
belem,0,convex,2,25,283,0.666250,0.639070,0.027180
belem,0,convex,3,26,284,0.738000,0.729190,0.008810
belem,1,convex,1,27,280,0.662030,0.652930,0.009100
belem,1,convex,2,28,283,0.666570,0.652930,0.013640
belem,1,convex,3,29,284,0.744360,0.739540,0.004820
boeblingen,0,convex,1,30,280,0.663710,0.657870,0.005840
boeblingen,0,convex,2,31,283,0.666630,0.657870,0.008760
boeblingen,0,convex,3,32,284,0.746470,0.743280,0.003190
