algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
0,0.9951,0.99515,0.9952,0.9951,0.99515,0.9952,0.9951,0.99515,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.999665,0.99986525,1.0,100,0.0,0.0,2
1,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.999665,0.9998325,1.0,100,0.0,0.0,1
2,0.9951,0.99515,0.9952,0.9951,0.99515,0.9952,0.9951,0.99515,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.999665,0.99986525,1.0,100,0.0,0.0,2
3,0.9445,0.94455,0.9446,0.9445,0.94455,0.9446,0.9445,0.94455,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.99954575,1.0,100,0.0,0.0,2
4,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.999298,1.0,100,0.0,0.0,1
5,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.999298,1.0,100,0.0,0.0,1
6,0.9848,0.9849,0.985,0.9848,0.9849,0.985,0.9848,0.9849,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.999327,0.999625,1.0,100,0.0,0.0,2
7,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.999327,0.999327,0.999327,100,0.0,0.0,1
8,0.9848,0.9851333333333333,0.9856,0.9848,0.9851333333333333,0.9856,0.9848,0.9851333333333333,0.9856,0.0,0.0,0.0,0.0,0.0,0.0,0.998653,0.9995056,1.0,100,0.0,0.0,3
9,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
10,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
11,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
12,0.9899,0.98995,0.99,0.9899,0.98995,0.99,0.9899,0.98995,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.998784,0.999406,1.0,100,0.0,0.0,2
13,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.0,0.0,0.0,0.0,0.0,0.0,0.999434,0.999717,1.0,100,0.0,0.0,1
14,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.0,0.0,0.0,0.0,0.0,0.0,0.999434,0.999717,1.0,100,0.0,0.0,1
15,0.9755,0.9756,0.9757,0.9755,0.9756,0.9757,0.9755,0.9756,0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.999531,0.999689,1.0,100,0.0,0.0,2
16,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.999536,0.999768,1.0,100,0.0,0.0,1
17,0.9755,0.9763999999999999,0.978,0.9755,0.9763999999999999,0.978,0.9755,0.9763999999999999,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.996524,0.9991182000000001,1.0,100,0.0,0.0,3
