hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
boeblingen,0,3,0.008580,0.746580,convex,14.000000,0
boeblingen,1,3,0.008900,0.673990,convex,15.000000,1
bogota,0,3,0.009310,0.742550,convex,13.000000,2
bogota,1,3,0.010140,0.732550,convex,15.000000,3
cambridge,0,3,0.008950,0.745970,convex,13.000000,4
cambridge,1,3,0.009320,0.573130,convex,15.000000,5
cusco,0,3,0.012020,0.748200,convex,13.000000,6
cusco,1,3,0.042520,0.561890,convex,16.000000,7
hanoi,0,3,0.012380,0.748730,convex,14.000000,8
hanoi,1,3,0.014160,0.724400,convex,14.000000,9
jakarta,0,3,0.009760,0.745750,convex,13.000000,10
jakarta,1,3,0.010690,0.734030,convex,14.000000,11
lagos,0,3,0.010580,0.745470,convex,14.000000,4
lagos,1,3,0.009890,0.526020,convex,14.000000,12
ourense,0,3,0.008990,0.746030,convex,13.000000,13
ourense,1,3,0.010660,0.733490,convex,13.000000,14
toronto,0,3,0.018010,0.747940,convex,14.000000,15
toronto,1,3,0.014750,0.631950,convex,15.000000,16
washington,0,3,0.054020,0.749240,convex,15.000000,17
washington,1,3,0.048490,0.608080,convex,15.000000,18
yorktown,0,3,0.009630,0.742250,convex,13.000000,19
yorktown,1,3,0.010260,0.621690,convex,15.000000,20
athens,0,3,0.009080,0.747400,convex,14.000000,21
athens,1,3,0.010560,0.743450,convex,14.000000,22
auckland,0,3,0.013070,0.749340,convex,14.000000,23
auckland,1,3,0.016790,0.744900,convex,14.000000,24
brisbane,0,3,0.019360,0.748730,convex,14.000000,8
brisbane,1,3,0.046990,0.601880,convex,16.000000,25
essex,0,3,0.005760,0.741090,convex,15.000000,26
essex,1,3,0.005990,0.732900,convex,15.000000,27
kyiv,0,3,0.008980,0.749750,convex,10.000000,28
kyiv,1,3,0.054340,0.636470,convex,17.000000,29
perth,0,3,0.011300,0.745490,convex,14.000000,30
perth,1,3,0.010500,0.737280,convex,15.000000,31
prague,0,3,0.020860,0.748200,convex,14.000000,6
prague,1,3,0.016200,0.715050,convex,15.000000,32
santiago,0,3,0.010510,0.747400,convex,14.000000,21
santiago,1,3,0.009550,0.745190,convex,14.000000,33
singapore,0,3,0.008390,0.745970,convex,14.000000,4
singapore,1,3,0.007440,0.721300,convex,14.000000,34
sydney,0,3,0.013470,0.747670,convex,15.000000,35
sydney,1,3,0.016170,0.709000,convex,14.000000,36
perfect_hardware,0,3,0.002730,0.750000,convex,6.000000,37
cairo,0,3,0.009400,0.748730,convex,14.000000,8
cairo,1,3,0.015800,0.693720,convex,16.000000,38
casablanca,0,3,0.009210,0.746060,convex,15.000000,13
casablanca,1,3,0.010830,0.740720,convex,14.000000,39
johannesburg,0,3,0.006740,0.745810,convex,15.000000,40
johannesburg,1,3,0.008250,0.683760,convex,16.000000,41
kawasaki,0,3,0.024160,0.749240,convex,14.000000,17
kawasaki,1,3,0.045050,0.593420,convex,15.000000,42
melbourne,0,3,0.009350,0.743440,convex,14.000000,43
melbourne,1,3,0.010920,0.676750,convex,15.000000,44
manila,0,3,0.009830,0.746310,convex,14.000000,45
manila,1,3,0.010190,0.717890,convex,15.000000,46
montreal,0,3,0.013830,0.748200,convex,14.000000,6
montreal,1,3,0.017490,0.717730,convex,14.000000,47
