hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
algiers,0,1,0.006270,0.500000,convex,0.000000,0
algiers,0,2,0.006270,0.666660,convex,0.000000,1
algiers,0,3,0.006270,0.748720,convex,0.000000,2
algiers,1,1,0.006260,0.500000,convex,0.000000,0
algiers,1,2,0.006260,0.665900,convex,0.000000,3
algiers,1,3,0.006260,0.733170,convex,0.000000,4
almaden,0,1,0.003690,0.500000,convex,0.000000,0
almaden,0,2,0.003690,0.666620,convex,0.000000,5
almaden,0,3,0.003690,0.745980,convex,0.000000,6
almaden,1,1,0.005130,0.500000,convex,0.000000,0
almaden,1,2,0.005130,0.636670,convex,0.000000,7
almaden,1,3,0.005130,0.656690,convex,0.000000,8
athens,0,1,0.005660,0.500000,convex,0.000000,0
athens,0,2,0.005660,0.666640,convex,0.000000,9
athens,0,3,0.005660,0.747260,convex,0.000000,10
athens,1,1,0.003830,0.500000,convex,0.000000,0
athens,1,2,0.003830,0.666530,convex,0.000000,11
athens,1,3,0.003830,0.743230,convex,0.000000,12
auckland,0,1,0.005450,0.500000,convex,0.000000,0
auckland,0,2,0.005450,0.666660,convex,0.000000,13
auckland,0,3,0.005450,0.748540,convex,0.000000,14
auckland,1,1,0.006030,0.500000,convex,0.000000,0
auckland,1,2,0.006030,0.666580,convex,0.000000,15
auckland,1,3,0.006030,0.744780,convex,0.000000,16
belem,0,1,0.006060,0.500000,convex,0.000000,0
belem,0,2,0.006060,0.666570,convex,0.000000,17
belem,0,3,0.006060,0.744360,convex,0.000000,18
belem,1,1,0.005620,0.500000,convex,0.000000,0
belem,1,2,0.005620,0.666250,convex,0.000000,19
belem,1,3,0.005620,0.737990,convex,0.000000,20
boeblingen,0,1,0.005700,0.500000,convex,0.000000,0
boeblingen,0,2,0.005700,0.666630,convex,0.000000,21
boeblingen,0,3,0.005700,0.746450,convex,0.000000,22
boeblingen,1,1,0.005320,0.500000,convex,0.000000,0
boeblingen,1,2,0.005320,0.653650,convex,0.000000,23
boeblingen,1,3,0.005320,0.674180,convex,0.000000,24
bogota,0,1,0.003830,0.500000,convex,0.000000,0
bogota,0,2,0.003830,0.666490,convex,0.000000,25
bogota,0,3,0.003830,0.742490,convex,0.000000,26
