hardware,embedding_index,method,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,bellman,0,0,0.597200,0.597200,0.000000
algiers,0,convex,1,1,0.497670,0.497670,0.000000
algiers,0,bellman,2,2,0.990560,0.990560,0.000000
algiers,0,convex,3,2,0.990560,0.990560,-0.000000
algiers,0,bellman,4,18,0.991510,0.989610,0.001900
algiers,0,convex,3,18,0.990560,0.989610,0.000950
algiers,1,bellman,0,0,0.597200,0.597200,0.000000
algiers,1,convex,1,1,0.497670,0.497670,0.000000
algiers,1,bellman,2,2,0.940190,0.940190,0.000000
algiers,1,convex,3,2,0.940190,0.940190,-0.000000
algiers,1,bellman,4,18,0.950610,0.929780,0.020830
algiers,1,convex,3,18,0.940190,0.929780,0.010420
algiers,2,bellman,0,0,0.597200,0.597200,0.000000
algiers,2,convex,1,1,0.497670,0.497670,0.000000
algiers,2,bellman,2,2,0.990560,0.990560,0.000000
algiers,2,convex,3,2,0.990560,0.990560,0.000000
algiers,2,bellman,4,18,0.991510,0.989610,0.001900
algiers,2,convex,3,18,0.990560,0.989610,0.000950
algiers,3,bellman,0,0,0.597200,0.597200,0.000000
algiers,3,convex,1,1,0.497670,0.497670,0.000000
algiers,3,bellman,2,2,0.940190,0.940190,0.000000
algiers,3,convex,3,2,0.940190,0.940190,0.000000
algiers,3,bellman,4,18,0.950610,0.929780,0.020830
algiers,3,convex,3,18,0.940190,0.929780,0.010420
algiers,4,bellman,0,0,0.598190,0.598190,0.000000
algiers,4,convex,1,1,0.498490,0.498490,0.000000
algiers,4,bellman,2,2,0.992200,0.992200,0.000000
algiers,4,convex,3,2,0.992200,0.992200,-0.000000
algiers,4,bellman,4,18,0.993160,0.991250,0.001910
algiers,4,convex,3,18,0.992200,0.991250,0.000950
algiers,5,bellman,0,0,0.598190,0.598190,0.000000
algiers,5,convex,1,1,0.498490,0.498490,0.000000
algiers,5,bellman,2,2,0.941760,0.941760,0.000000
algiers,5,convex,3,2,0.941750,0.941760,-0.000000
algiers,5,bellman,4,18,0.952190,0.931320,0.020870
algiers,5,convex,3,18,0.941750,0.931320,0.010430
algiers,6,bellman,0,0,0.597360,0.597360,0.000000
algiers,6,convex,1,1,0.497800,0.497800,0.000000
algiers,6,bellman,2,2,0.940450,0.940450,0.000000
algiers,6,convex,3,2,0.940440,0.940450,-0.000000
algiers,6,bellman,4,18,0.950870,0.930030,0.020840
algiers,6,convex,3,18,0.940440,0.930030,0.010420
algiers,7,bellman,0,0,0.598190,0.598190,0.000000
algiers,7,convex,1,1,0.498490,0.498490,0.000000
algiers,7,bellman,2,2,0.992200,0.992200,0.000000
algiers,7,convex,3,2,0.992200,0.992200,-0.000000
algiers,7,bellman,4,18,0.993150,0.991250,0.001910
algiers,7,convex,3,18,0.992200,0.991250,0.000950
algiers,8,bellman,0,0,0.598190,0.598190,0.000000
algiers,8,convex,1,1,0.498490,0.498490,0.000000
algiers,8,bellman,2,2,0.941750,0.941750,0.000000
algiers,8,convex,3,2,0.941750,0.941750,-0.000000
algiers,8,bellman,4,18,0.952190,0.931320,0.020870
algiers,8,convex,3,18,0.941750,0.931320,0.010430
algiers,9,bellman,0,0,0.596890,0.596890,0.000000
algiers,9,convex,1,1,0.497410,0.497410,0.000000
algiers,9,bellman,2,2,0.990040,0.990040,0.000000
algiers,9,convex,3,2,0.990040,0.990040,-0.000000
algiers,9,bellman,4,18,0.990990,0.989090,0.001900
algiers,9,convex,3,18,0.990040,0.989090,0.000950
algiers,10,bellman,0,0,0.596890,0.596890,0.000000
algiers,10,convex,1,1,0.497410,0.497410,0.000000
algiers,10,bellman,2,2,0.939710,0.939710,0.000000
algiers,10,convex,3,2,0.939710,0.939710,-0.000000
algiers,10,bellman,4,18,0.950120,0.929290,0.020820
algiers,10,convex,3,18,0.939710,0.929290,0.010410
algiers,11,bellman,0,0,0.596890,0.596890,0.000000
algiers,11,convex,1,1,0.497410,0.497410,0.000000
algiers,11,bellman,2,2,0.990040,0.990040,0.000000
algiers,11,convex,3,2,0.990040,0.990040,-0.000000
algiers,11,bellman,4,18,0.990990,0.989090,0.001900
algiers,11,convex,3,18,0.990040,0.989090,0.000950
algiers,12,bellman,0,0,0.596890,0.596890,0.000000
algiers,12,convex,1,1,0.497410,0.497410,0.000000
algiers,12,bellman,2,2,0.939710,0.939710,0.000000
algiers,12,convex,3,2,0.939710,0.939710,-0.000000
algiers,12,bellman,4,18,0.950120,0.929290,0.020820
algiers,12,convex,3,18,0.939710,0.929290,0.010410
algiers,13,bellman,0,0,0.597350,0.597350,0.000000
algiers,13,convex,1,1,0.497790,0.497790,0.000000
algiers,13,bellman,2,2,0.990800,0.990800,0.000000
algiers,13,convex,3,2,0.990800,0.990800,-0.000000
algiers,13,bellman,4,18,0.991750,0.989850,0.001900
algiers,13,convex,3,18,0.990800,0.989850,0.000950
algiers,14,bellman,0,0,0.597350,0.597350,0.000000
algiers,14,convex,1,1,0.497790,0.497790,0.000000
algiers,14,bellman,2,2,0.940420,0.940420,0.000000
algiers,14,convex,3,2,0.940420,0.940420,-0.000000
algiers,14,bellman,4,18,0.950840,0.930000,0.020840
algiers,14,convex,3,18,0.940420,0.930000,0.010420
algiers,15,bellman,0,0,0.597360,0.597360,0.000000
algiers,15,convex,1,1,0.497800,0.497800,0.000000
algiers,15,bellman,2,2,0.940450,0.940450,0.000000
algiers,15,convex,3,2,0.940450,0.940450,-0.000000
algiers,15,bellman,4,18,0.950870,0.930030,0.020840
algiers,15,convex,3,18,0.940450,0.930030,0.010420
algiers,16,bellman,0,0,0.590670,0.590670,0.000000
algiers,16,convex,1,1,0.492220,0.492220,0.000000
algiers,16,bellman,2,2,0.929910,0.929910,0.000000
algiers,16,convex,3,2,0.929910,0.929910,-0.000000
algiers,16,bellman,4,18,0.940210,0.919610,0.020610
algiers,16,convex,3,18,0.929910,0.919610,0.010300
algiers,17,bellman,0,0,0.597350,0.597350,0.000000
algiers,17,convex,1,1,0.497790,0.497790,0.000000
algiers,17,bellman,2,2,0.990800,0.990800,0.000000
algiers,17,convex,3,2,0.990800,0.990800,-0.000000
algiers,17,bellman,4,18,0.991750,0.989850,0.001900
algiers,17,convex,3,18,0.990800,0.989850,0.000950
algiers,18,bellman,0,0,0.597350,0.597350,0.000000
algiers,18,convex,1,1,0.497790,0.497790,0.000000
algiers,18,bellman,2,2,0.940420,0.940420,0.000000
algiers,18,convex,3,2,0.940420,0.940420,-0.000000
algiers,18,bellman,4,18,0.950840,0.930000,0.020840
algiers,18,convex,3,18,0.940420,0.930000,0.010420
algiers,19,bellman,0,0,0.596700,0.596700,0.000000
algiers,19,convex,1,1,0.497250,0.497250,0.000000
algiers,19,bellman,2,2,0.989720,0.989720,0.000000
algiers,19,convex,3,2,0.989720,0.989720,-0.000000
algiers,19,bellman,4,18,0.990670,0.988770,0.001900
algiers,19,convex,3,18,0.989720,0.988770,0.000950
algiers,20,bellman,0,0,0.596700,0.596700,0.000000
algiers,20,convex,1,1,0.497250,0.497250,0.000000
algiers,20,bellman,2,2,0.939400,0.939400,0.000000
algiers,20,convex,3,2,0.939400,0.939400,-0.000000
algiers,20,bellman,4,18,0.949810,0.928990,0.020820
algiers,20,convex,3,18,0.939400,0.928990,0.010410
algiers,21,bellman,0,0,0.596880,0.596880,0.000000
algiers,21,convex,1,1,0.497400,0.497400,0.000000
algiers,21,bellman,2,2,0.990020,0.990020,0.000000
algiers,21,convex,3,2,0.990020,0.990020,0.000000
algiers,21,bellman,4,18,0.990970,0.989070,0.001900
algiers,21,convex,3,18,0.990020,0.989070,0.000950
algiers,22,bellman,0,0,0.596880,0.596880,0.000000
algiers,22,convex,1,1,0.497400,0.497400,0.000000
algiers,22,bellman,2,2,0.939680,0.939680,0.000000
algiers,22,convex,3,2,0.939680,0.939680,0.000000
algiers,22,bellman,4,18,0.950090,0.929270,0.020820
algiers,22,convex,3,18,0.939680,0.929270,0.010410
algiers,23,bellman,0,0,0.590670,0.590670,0.000000
algiers,23,convex,1,1,0.492220,0.492220,0.000000
algiers,23,bellman,2,2,0.929910,0.929910,0.000000
algiers,23,convex,3,2,0.929910,0.929910,-0.000000
algiers,23,bellman,4,18,0.940210,0.919610,0.020610
algiers,23,convex,3,18,0.929910,0.919610,0.010300
algiers,24,bellman,0,0,0.596880,0.596880,0.000000
algiers,24,convex,1,1,0.497400,0.497400,0.000000
algiers,24,bellman,2,2,0.990020,0.990020,0.000000
algiers,24,convex,3,2,0.990020,0.990020,0.000000
algiers,24,bellman,4,18,0.990970,0.989070,0.001900
algiers,24,convex,3,18,0.990020,0.989070,0.000950
algiers,25,bellman,0,0,0.596880,0.596880,0.000000
algiers,25,convex,1,1,0.497400,0.497400,0.000000
algiers,25,bellman,2,2,0.939680,0.939680,0.000000
algiers,25,convex,3,2,0.939680,0.939680,0.000000
algiers,25,bellman,4,18,0.950090,0.929270,0.020820
algiers,25,convex,3,18,0.939680,0.929270,0.010410
algiers,26,bellman,0,0,0.578500,0.578500,0.000000
algiers,26,convex,1,1,0.482090,0.482090,0.000000
algiers,26,bellman,2,2,0.959550,0.959550,0.000000
algiers,26,convex,3,2,0.959550,0.959550,-0.000000
algiers,26,bellman,4,18,0.960470,0.958630,0.001840
algiers,26,convex,3,18,0.959550,0.958630,0.000920
algiers,27,bellman,0,0,0.578500,0.578500,0.000000
algiers,27,convex,1,1,0.482090,0.482090,0.000000
algiers,27,bellman,2,2,0.910760,0.910760,0.000000
algiers,27,convex,3,2,0.910760,0.910760,-0.000000
algiers,27,bellman,4,18,0.920850,0.900670,0.020180
algiers,27,convex,3,18,0.910760,0.900670,0.010090
algiers,28,bellman,0,0,0.596700,0.596700,0.000000
algiers,28,convex,1,1,0.497250,0.497250,0.000000
algiers,28,bellman,2,2,0.989720,0.989720,0.000000
algiers,28,convex,3,2,0.989720,0.989720,-0.000000
algiers,28,bellman,4,18,0.990670,0.988770,0.001900
algiers,28,convex,3,18,0.989720,0.988770,0.000950
algiers,29,bellman,0,0,0.596700,0.596700,0.000000
algiers,29,convex,1,1,0.497250,0.497250,0.000000
algiers,29,bellman,2,2,0.939400,0.939400,0.000000
algiers,29,convex,3,2,0.939400,0.939400,-0.000000
algiers,29,bellman,4,18,0.949810,0.928990,0.020820
algiers,29,convex,3,18,0.939400,0.928990,0.010410
algiers,30,bellman,0,0,0.596360,0.596360,0.000000
algiers,30,convex,1,1,0.496970,0.496970,0.000000
algiers,30,bellman,2,2,0.989160,0.989160,0.000000
algiers,30,convex,3,2,0.989160,0.989160,-0.000000
algiers,30,bellman,4,18,0.990110,0.988210,0.001900
algiers,30,convex,3,18,0.989160,0.988210,0.000950
algiers,31,bellman,0,0,0.596360,0.596360,0.000000
algiers,31,convex,1,1,0.496970,0.496970,0.000000
algiers,31,bellman,2,2,0.938870,0.938870,0.000000
algiers,31,convex,3,2,0.938870,0.938870,-0.000000
algiers,31,bellman,4,18,0.949270,0.928470,0.020810
algiers,31,convex,3,18,0.938870,0.928470,0.010400
algiers,32,bellman,0,0,0.597690,0.597690,0.000000
algiers,32,convex,1,1,0.498070,0.498070,0.000000
algiers,32,bellman,2,2,0.991370,0.991370,0.000000
algiers,32,convex,3,2,0.991370,0.991370,0.000000
algiers,32,bellman,4,18,0.992320,0.990410,0.001900
algiers,32,convex,3,18,0.991370,0.990410,0.000950
algiers,33,bellman,0,0,0.597690,0.597690,0.000000
algiers,33,convex,1,1,0.498070,0.498070,0.000000
algiers,33,bellman,2,2,0.940960,0.940960,0.000000
algiers,33,convex,3,2,0.940960,0.940960,0.000000
algiers,33,bellman,4,18,0.951390,0.930540,0.020850
algiers,33,convex,3,18,0.940960,0.930540,0.010430
algiers,34,bellman,0,0,0.596360,0.596360,0.000000
algiers,34,convex,1,1,0.496960,0.496960,0.000000
algiers,34,bellman,2,2,0.989160,0.989160,0.000000
algiers,34,convex,3,2,0.989160,0.989160,-0.000000
algiers,34,bellman,4,18,0.990110,0.988210,0.001900
algiers,34,convex,3,18,0.989160,0.988210,0.000950
algiers,35,bellman,0,0,0.596360,0.596360,0.000000
algiers,35,convex,1,1,0.496960,0.496960,0.000000
algiers,35,bellman,2,2,0.938870,0.938870,0.000000
algiers,35,convex,3,2,0.938860,0.938870,-0.000000
algiers,35,bellman,4,18,0.949270,0.928460,0.020810
algiers,35,convex,3,18,0.938860,0.928460,0.010400
algiers,36,bellman,0,0,0.578500,0.578500,0.000000
algiers,36,convex,1,1,0.482090,0.482090,0.000000
algiers,36,bellman,2,2,0.959550,0.959550,0.000000
algiers,36,convex,3,2,0.959550,0.959550,0.000000
algiers,36,bellman,4,18,0.960470,0.958620,0.001840
algiers,36,convex,3,18,0.959550,0.958620,0.000920
algiers,37,bellman,0,0,0.578500,0.578500,0.000000
algiers,37,convex,1,1,0.482090,0.482090,0.000000
algiers,37,bellman,2,2,0.910760,0.910760,0.000000
algiers,37,convex,3,2,0.910760,0.910760,0.000000
algiers,37,bellman,4,18,0.920850,0.900670,0.020180
algiers,37,convex,3,18,0.910760,0.900670,0.010090
algiers,38,bellman,0,0,0.595890,0.595890,0.000000
algiers,38,convex,1,1,0.496570,0.496570,0.000000
algiers,38,bellman,2,2,0.988380,0.988380,0.000000
algiers,38,convex,3,2,0.988380,0.988380,-0.000000
algiers,38,bellman,4,18,0.989330,0.987430,0.001900
algiers,38,convex,3,18,0.988380,0.987430,0.000950
algiers,39,bellman,0,0,0.595890,0.595890,0.000000
algiers,39,convex,1,1,0.496570,0.496570,0.000000
algiers,39,bellman,2,2,0.938130,0.938130,0.000000
algiers,39,convex,3,2,0.938130,0.938130,-0.000000
algiers,39,bellman,4,18,0.948520,0.927740,0.020790
algiers,39,convex,3,18,0.938130,0.927740,0.010390
algiers,40,bellman,0,0,0.597690,0.597690,0.000000
algiers,40,convex,1,1,0.498070,0.498070,0.000000
algiers,40,bellman,2,2,0.991370,0.991370,0.000000
algiers,40,convex,3,2,0.991370,0.991370,-0.000000
algiers,40,bellman,4,18,0.992320,0.990410,0.001900
algiers,40,convex,3,18,0.991370,0.990410,0.000950
algiers,41,bellman,0,0,0.597690,0.597690,0.000000
algiers,41,convex,1,1,0.498070,0.498070,0.000000
algiers,41,bellman,2,2,0.940960,0.940960,0.000000
algiers,41,convex,3,2,0.940960,0.940960,-0.000000
algiers,41,bellman,4,18,0.951390,0.930540,0.020850
algiers,41,convex,3,18,0.940960,0.930540,0.010430
algiers,42,bellman,0,0,0.597210,0.597210,0.000000
algiers,42,convex,1,1,0.497670,0.497670,0.000000
algiers,42,bellman,2,2,0.990570,0.990570,0.000000
algiers,42,convex,3,2,0.990570,0.990570,0.000000
algiers,42,bellman,4,18,0.991520,0.989620,0.001900
algiers,42,convex,3,18,0.990570,0.989620,0.000950
