hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
boeblingen,0,1,9.577180,0.500000,convex,0.000000,0
boeblingen,0,2,9.577180,0.960750,convex,2.000000,1
boeblingen,1,1,9.512370,0.500000,convex,0.000000,0
boeblingen,1,2,9.512370,0.933920,convex,4.000000,2
boeblingen,2,1,10.007860,0.500000,convex,0.000000,0
boeblingen,2,2,10.007860,0.960750,convex,2.000000,1
boeblingen,3,1,10.950210,0.500000,convex,0.000000,0
boeblingen,3,2,10.950210,0.933920,convex,4.000000,2
bogota,0,1,8.807920,0.500000,convex,0.000000,0
bogota,0,2,8.807920,0.965480,convex,2.000000,3
bogota,1,1,8.456620,0.499750,convex,0.000000,4
bogota,1,2,8.456620,0.925850,convex,5.000000,5
cambridge,0,1,11.845560,0.500000,convex,0.000000,0
cambridge,0,2,11.845560,0.980120,convex,4.000000,6
cambridge,1,1,10.801430,0.500250,convex,0.000000,7
cambridge,1,2,10.801430,0.735740,convex,6.000000,8
cambridge,2,1,12.220620,0.500000,convex,0.000000,0
cambridge,2,2,12.220620,0.980120,convex,4.000000,6
cambridge,3,1,11.402970,0.500250,convex,0.000000,7
cambridge,3,2,11.402970,0.735730,convex,6.000000,8
hanoi,0,1,10.353200,0.500000,convex,0.000000,0
hanoi,0,2,10.353200,0.991040,convex,2.000000,9
hanoi,1,1,12.090320,0.500250,convex,0.000000,7
hanoi,1,2,12.090320,0.735000,convex,4.000000,10
hanoi,2,1,12.069880,0.500000,convex,0.000000,0
hanoi,2,2,12.069880,0.991040,convex,2.000000,9
hanoi,3,1,12.370070,0.500250,convex,0.000000,7
hanoi,3,2,12.370070,0.735000,convex,4.000000,10
jakarta,0,1,9.333600,0.500000,convex,0.000000,0
jakarta,0,2,9.333600,0.973290,convex,3.000000,11
jakarta,1,1,9.161750,0.499750,convex,0.000000,4
jakarta,1,2,9.161750,0.949120,convex,3.000000,12
jakarta,2,1,9.209570,0.500250,convex,0.000000,4
jakarta,2,2,9.209570,0.973310,convex,3.000000,13
jakarta,3,1,9.029520,0.500000,convex,0.000000,14
jakarta,3,2,9.029520,0.949160,convex,3.000000,15
lagos,0,1,9.092080,0.500000,convex,0.000000,0
lagos,0,2,9.092080,0.773620,convex,4.000000,16
lagos,1,1,9.074650,0.500000,convex,0.000000,0
lagos,1,2,9.074650,0.773620,convex,4.000000,16
lagos,2,1,8.956410,0.500250,convex,0.000000,7
lagos,2,2,8.956410,0.979040,convex,4.000000,17
ourense,0,1,8.712930,0.500000,convex,0.000000,0
ourense,0,2,8.712930,0.983100,convex,3.000000,6
toronto,0,1,15.011230,0.500000,convex,0.000000,0
toronto,0,2,15.011230,0.983130,convex,3.000000,18
toronto,1,1,15.050990,0.500000,convex,0.000000,0
toronto,1,2,15.050990,0.947160,convex,5.000000,17
toronto,2,1,12.237160,0.500250,convex,0.000000,4
toronto,2,2,12.237160,0.983150,convex,3.000000,19
toronto,3,1,12.920110,0.500250,convex,0.000000,4
toronto,3,2,12.920110,0.947160,convex,5.000000,20
washington,0,1,44.808170,0.500250,convex,0.000000,7
washington,0,2,44.808170,0.972330,convex,3.000000,21
washington,1,1,42.173270,0.500250,convex,0.000000,7
washington,1,2,42.173270,0.733000,convex,7.000000,22
washington,2,1,39.368480,0.500250,convex,0.000000,7
washington,2,2,39.368480,0.972330,convex,3.000000,21
yorktown,0,1,9.027060,0.499750,convex,0.000000,4
yorktown,0,2,9.027060,0.909180,convex,6.000000,23
yorktown,1,1,9.007740,0.499750,convex,0.000000,4
yorktown,1,2,9.007740,0.975170,convex,5.000000,6
yorktown,2,1,8.935050,0.499750,convex,0.000000,4
yorktown,2,2,8.935050,0.975170,convex,5.000000,6
yorktown,3,1,8.861320,0.499750,convex,0.000000,4
yorktown,3,2,8.861320,0.909180,convex,6.000000,23
yorktown,4,1,9.000580,0.499750,convex,0.000000,4
yorktown,4,2,9.000580,0.975170,convex,5.000000,6
yorktown,5,1,8.753060,0.499750,convex,0.000000,4
yorktown,5,2,8.753060,0.909180,convex,5.000000,23
athens,0,1,8.390290,0.500250,convex,0.000000,7
athens,0,2,8.390290,0.974330,convex,2.000000,3
athens,1,1,8.206040,0.499750,convex,0.000000,4
athens,1,2,8.206040,0.974230,convex,2.000000,18
auckland,0,1,10.639800,0.500500,convex,0.000000,0
auckland,0,2,10.639800,0.989080,convex,2.000000,24
auckland,1,1,13.288910,0.500250,convex,0.000000,4
auckland,1,2,13.288910,0.982100,convex,2.000000,25
auckland,2,1,13.982840,0.500250,convex,0.000000,7
auckland,2,2,13.982840,0.989060,convex,2.000000,26
essex,0,1,7.026710,0.500000,convex,0.000000,0
essex,0,2,7.026710,0.962670,convex,3.000000,27
essex,1,1,7.033630,0.499750,convex,0.000000,4
essex,1,2,7.033630,0.954770,convex,3.000000,28
perth,0,1,9.077620,0.500250,convex,0.000000,7
perth,0,2,9.077620,0.975270,convex,2.000000,29
perth,1,1,8.899680,0.500250,convex,0.000000,7
perth,1,2,8.899680,0.965480,convex,3.000000,30
perth,2,1,8.518320,0.500250,convex,0.000000,7
perth,2,2,8.518320,0.965480,convex,3.000000,30
santiago,0,1,8.370390,0.500000,convex,0.000000,0
santiago,0,2,8.370390,0.983130,convex,2.000000,18
santiago,1,1,8.657770,0.500250,convex,0.000000,7
santiago,1,2,8.657770,0.990050,convex,2.000000,6
santiago,2,1,8.639720,0.500250,convex,0.000000,7
santiago,2,2,8.639720,0.990050,convex,2.000000,6
singapore,0,1,10.159840,0.500250,convex,0.000000,7
singapore,0,2,10.159840,0.923740,convex,3.000000,31
singapore,1,1,10.174740,0.500000,convex,0.000000,0
singapore,1,2,10.174740,0.953790,convex,3.000000,32
singapore,2,1,9.592450,0.500250,convex,0.000000,7
singapore,2,2,9.592450,0.923740,convex,3.000000,31
singapore,3,1,8.824880,0.500000,convex,0.000000,0
singapore,3,2,8.824880,0.953790,convex,3.000000,32
sydney,0,1,11.350060,0.500000,convex,0.000000,0
sydney,0,2,11.350060,0.983120,convex,3.000000,26
sydney,1,1,14.354050,0.500250,convex,0.000000,7
sydney,1,2,14.354050,0.919210,convex,5.000000,28
sydney,2,1,12.794850,0.500000,convex,0.000000,0
sydney,2,2,12.794850,0.983120,convex,3.000000,26
sydney,3,1,14.494080,0.500250,convex,0.000000,7
sydney,3,2,14.494080,0.919210,convex,5.000000,28
perfect_hardware,0,1,0.069920,0.500000,convex,0.000000,0
perfect_hardware,0,2,0.069920,1.000000,convex,0.000000,33
cairo,0,1,10.613210,0.499750,convex,0.000000,4
cairo,0,2,10.613210,0.983150,convex,2.000000,18
cairo,1,1,12.400460,0.499750,convex,0.000000,4
cairo,1,2,12.400460,0.858750,convex,4.000000,34
cairo,2,1,12.919850,0.499750,convex,0.000000,4
cairo,2,2,12.919850,0.983150,convex,2.000000,18
casablanca,0,1,9.018720,0.499750,convex,0.000000,4
casablanca,0,2,9.018720,0.982160,convex,2.000000,18
casablanca,1,1,9.049610,0.499750,convex,0.000000,4
casablanca,1,2,9.049610,0.978200,convex,2.000000,18
casablanca,2,1,8.545140,0.499750,convex,0.000000,4
casablanca,2,2,8.545140,0.978200,convex,2.000000,18
johannesburg,0,1,7.890950,0.500000,convex,0.000000,14
johannesburg,0,2,7.890950,0.914490,convex,3.000000,35
johannesburg,1,1,9.056230,0.500500,convex,0.000000,0
johannesburg,1,2,9.056230,0.958390,convex,4.000000,36
johannesburg,2,1,9.728660,0.499750,convex,0.000000,4
johannesburg,2,2,9.728660,0.914420,convex,3.000000,37
johannesburg,3,1,9.570380,0.500250,convex,0.000000,7
johannesburg,3,2,9.570380,0.958370,convex,4.000000,38
melbourne,0,1,8.082580,0.500250,convex,0.000000,4
melbourne,0,2,8.082580,0.955960,convex,3.000000,15
melbourne,1,1,9.850200,0.500500,convex,0.000000,0
melbourne,1,2,9.850200,0.948850,convex,5.000000,39
melbourne,2,1,9.416240,0.500000,convex,0.000000,0
melbourne,2,2,9.416240,0.955930,convex,3.000000,12
melbourne,3,1,10.440270,0.500250,convex,0.000000,7
melbourne,3,2,10.440270,0.948820,convex,5.000000,32
manila,0,1,8.560330,0.500000,convex,0.000000,0
manila,0,2,8.560330,0.976210,convex,3.000000,40
manila,1,1,8.724180,0.500000,convex,0.000000,0
manila,1,2,8.724180,0.980180,convex,2.000000,40
manila,2,1,8.652040,0.500000,convex,0.000000,0
manila,2,2,8.652040,0.980180,convex,3.000000,40
montreal,0,1,11.526770,0.500000,convex,0.000000,0
montreal,0,2,11.526770,0.986080,convex,3.000000,6
montreal,1,1,11.374900,0.500000,convex,0.000000,0
montreal,1,2,11.374900,0.941410,convex,3.000000,5
montreal,2,1,14.175510,0.500000,convex,0.000000,0
montreal,2,2,14.175510,0.986080,convex,3.000000,6
montreal,3,1,14.157540,0.500000,convex,0.000000,0
montreal,3,2,14.157540,0.941410,convex,3.000000,5
rochester,0,1,10.706960,0.499750,convex,0.000000,4
rochester,0,2,10.706960,0.921280,convex,4.000000,41
rochester,1,1,14.489810,0.500250,convex,0.000000,7
rochester,1,2,14.489810,0.734790,convex,7.000000,9
rochester,2,1,12.903880,0.500000,convex,0.000000,14
rochester,2,2,12.903880,0.921330,convex,4.000000,42
rochester,3,1,14.919010,0.500500,convex,0.000000,0
rochester,3,2,14.919010,0.734800,convex,7.000000,43
rome,0,1,8.708360,0.499750,convex,0.000000,4
rome,0,2,8.708360,0.967520,convex,3.000000,30
rome,1,1,8.618300,0.500000,convex,0.000000,0
rome,1,2,8.618300,0.965480,convex,3.000000,3
rome,2,1,8.288040,0.499750,convex,0.000000,4
rome,2,2,8.288040,0.967520,convex,3.000000,30
vigo,0,1,8.651880,0.500250,convex,0.000000,4
vigo,0,2,8.651880,0.983110,convex,3.000000,44
vigo,1,1,8.652510,0.500250,convex,0.000000,4
vigo,1,2,8.652510,0.975210,convex,4.000000,19
belem,0,1,8.202790,0.500250,convex,0.000000,7
belem,0,2,8.202790,0.974280,convex,2.000000,29
belem,1,1,8.193050,0.500250,convex,0.000000,7
belem,1,2,8.193050,0.954900,convex,3.000000,12
brooklyn,0,1,12.713220,0.500000,convex,0.000000,14
brooklyn,0,2,12.713220,0.982180,convex,2.000000,19
brooklyn,1,1,12.732670,0.500000,convex,0.000000,14
brooklyn,1,2,12.732670,0.956630,convex,2.000000,45
brooklyn,2,1,16.272680,0.499750,convex,0.000000,4
brooklyn,2,2,16.272680,0.982160,convex,2.000000,18
brooklyn,3,1,16.302840,0.499750,convex,0.000000,4
brooklyn,3,2,16.302840,0.956610,convex,2.000000,21
burlington,0,1,6.783680,0.500000,convex,0.000000,0
burlington,0,2,6.783680,0.973350,convex,3.000000,21
burlington,1,1,6.765880,0.499750,convex,0.000000,4
burlington,1,2,6.765880,0.964500,convex,3.000000,21
guadalupe,0,1,11.287820,0.500000,convex,0.000000,0
guadalupe,0,2,11.287820,0.977250,convex,2.000000,11
guadalupe,1,1,11.464350,0.500250,convex,0.000000,7
guadalupe,1,2,11.464350,0.975200,convex,2.000000,40
guadalupe,2,1,9.946880,0.500250,convex,0.000000,4
guadalupe,2,2,9.946880,0.977270,convex,2.000000,13
guadalupe,3,1,10.453950,0.500500,convex,0.000000,0
guadalupe,3,2,10.453950,0.975210,convex,2.000000,46
london,0,1,6.809680,0.500000,convex,0.000000,0
london,0,2,6.809680,0.958580,convex,3.000000,3
london,1,1,6.870820,0.500000,convex,0.000000,0
london,1,2,6.870820,0.976210,convex,2.000000,40
mumbai,0,1,12.574600,0.500250,convex,0.000000,7
mumbai,0,2,12.574600,0.981130,convex,2.000000,18
mumbai,1,1,9.122010,0.500000,convex,0.000000,0
mumbai,1,2,9.122010,0.968350,convex,2.000000,11
mumbai,2,1,13.019360,0.500250,convex,0.000000,7
mumbai,2,2,13.019360,0.981130,convex,2.000000,18
mumbai,3,1,11.343420,0.500000,convex,0.000000,0
mumbai,3,2,11.343420,0.968350,convex,2.000000,11
oslo,0,1,8.948730,0.499750,convex,0.000000,4
oslo,0,2,8.948730,0.986050,convex,2.000000,17
oslo,1,1,8.519410,0.500000,convex,0.000000,0
oslo,1,2,8.519410,0.988060,convex,2.000000,47
oslo,2,1,8.842320,0.499750,convex,0.000000,4
oslo,2,2,8.842320,0.986050,convex,2.000000,17
paris,0,1,14.679910,0.500250,convex,0.000000,7
paris,0,2,14.679910,0.986050,convex,2.000000,47
paris,1,1,14.681110,0.500000,convex,0.000000,0
