hardware,embedding_index,gate_name,probability
algiers,0,CNOT,0.991254
algiers,0,SX,0.999671
algiers,0,RZ,1.000000
algiers,1,CNOT,0.991254
algiers,1,SX,0.999671
algiers,1,RZ,1.000000
algiers,2,CNOT,0.991254
algiers,2,SX,0.999600
algiers,2,RZ,1.000000
algiers,3,CNOT,0.991254
algiers,3,SX,0.999600
algiers,3,RZ,1.000000
algiers,4,CNOT,0.994349
algiers,4,SX,0.999600
algiers,4,RZ,1.000000
algiers,5,CNOT,0.994349
algiers,5,SX,0.999600
algiers,5,RZ,1.000000
algiers,6,CNOT,0.991752
algiers,6,SX,0.999600
algiers,6,RZ,1.000000
algiers,7,SX,0.999625
algiers,7,CNOT,0.994349
algiers,7,RZ,1.000000
algiers,8,SX,0.999625
algiers,8,CNOT,0.994349
algiers,8,RZ,1.000000
algiers,9,SX,0.999625
algiers,9,CNOT,0.990290
algiers,9,RZ,1.000000
algiers,10,SX,0.999625
algiers,10,CNOT,0.990290
algiers,10,RZ,1.000000
algiers,11,CNOT,0.990290
algiers,11,SX,0.999685
algiers,11,RZ,1.000000
algiers,12,CNOT,0.990290
algiers,12,SX,0.999685
algiers,12,RZ,1.000000
algiers,13,CNOT,0.991711
algiers,13,SX,0.999685
algiers,13,RZ,1.000000
algiers,14,CNOT,0.991711
algiers,14,SX,0.999685
algiers,14,RZ,1.000000
algiers,15,CNOT,0.991752
algiers,15,SX,0.999665
algiers,15,RZ,1.000000
algiers,16,CNOT,0.970844
algiers,16,SX,0.999665
algiers,16,RZ,1.000000
algiers,17,CNOT,0.991711
algiers,17,SX,0.999646
algiers,17,RZ,1.000000
algiers,18,CNOT,0.991711
algiers,18,SX,0.999646
algiers,18,RZ,1.000000
algiers,19,CNOT,0.989678
algiers,19,SX,0.999646
algiers,19,RZ,1.000000
algiers,20,CNOT,0.989678
algiers,20,SX,0.999646
algiers,20,RZ,1.000000
algiers,21,CNOT,0.990243
algiers,21,SX,0.999455
algiers,21,RZ,1.000000
algiers,22,CNOT,0.990243
algiers,22,SX,0.999455
algiers,22,RZ,1.000000
algiers,23,SX,0.999421
algiers,23,CNOT,0.970844
algiers,23,RZ,1.000000
algiers,24,CNOT,0.990243
algiers,24,SX,0.999421
algiers,24,RZ,1.000000
algiers,25,CNOT,0.990243
algiers,25,SX,0.999421
algiers,25,RZ,1.000000
algiers,26,CNOT,0.932821
algiers,26,SX,0.999421
algiers,26,RZ,1.000000
algiers,27,CNOT,0.932821
algiers,27,SX,0.999421
algiers,27,RZ,1.000000
algiers,28,CNOT,0.989678
algiers,28,SX,0.999780
algiers,28,RZ,1.000000
algiers,29,CNOT,0.989678
algiers,29,SX,0.999780
algiers,29,RZ,1.000000
algiers,30,CNOT,0.988620
algiers,30,SX,0.999780
