hardware,embedding_index,algorithm_index,probability,method
algiers,0,0,0.597200,bellman
algiers,0,1,0.497670,convex
algiers,0,2,0.990560,bellman
algiers,0,3,0.990560,convex
algiers,0,4,0.991510,bellman
algiers,0,5,0.497600,bellman
algiers,0,6,0.009240,convex
algiers,0,7,0.300000,bellman
algiers,0,8,0.695730,bellman
algiers,0,9,0.009240,convex
algiers,0,10,0.009240,convex
algiers,0,11,0.597200,bellman
algiers,0,12,0.597200,bellman
algiers,0,13,0.990560,convex
algiers,0,14,0.990560,convex
algiers,0,15,0.009240,convex
algiers,0,16,0.009240,convex
algiers,0,17,0.990560,bellman
algiers,0,18,0.989610,bellman
algiers,1,0,0.597200,bellman
algiers,1,1,0.497670,convex
algiers,1,2,0.940190,bellman
algiers,1,3,0.940190,convex
algiers,1,4,0.950610,bellman
algiers,1,5,0.472300,bellman
algiers,1,6,0.008780,convex
algiers,1,7,0.300000,bellman
algiers,1,8,0.669880,bellman
algiers,1,9,0.008770,convex
algiers,1,10,0.008780,convex
algiers,1,11,0.597200,bellman
algiers,1,12,0.597200,bellman
algiers,1,13,0.940190,convex
algiers,1,14,0.940190,convex
algiers,1,15,0.008810,convex
algiers,1,16,0.008810,convex
algiers,1,17,0.940190,bellman
algiers,1,18,0.929780,bellman
algiers,2,0,0.597200,bellman
algiers,2,1,0.497670,convex
algiers,2,2,0.990560,bellman
algiers,2,3,0.990560,convex
algiers,2,4,0.991510,bellman
algiers,2,5,0.497600,bellman
algiers,2,6,0.009240,convex
algiers,2,7,0.300000,bellman
algiers,2,8,0.695730,bellman
algiers,2,9,0.009240,convex
algiers,2,10,0.009240,convex
algiers,2,11,0.597200,bellman
algiers,2,12,0.597200,bellman
algiers,2,13,0.990560,convex
algiers,2,14,0.990560,convex
algiers,2,15,0.009240,convex
algiers,2,16,0.009240,convex
algiers,2,17,0.990560,bellman
algiers,2,18,0.989610,bellman
algiers,3,0,0.597200,bellman
algiers,3,1,0.497670,convex
algiers,3,2,0.940190,bellman
algiers,3,3,0.940190,convex
