hardware,embedding_index,horizon,method,time,result
algiers,0,1,bellman,0.034560,1
algiers,0,1,convex,0.021630,1
algiers,0,2,bellman,0.009710,1
algiers,0,2,convex,0.013360,1
algiers,0,3,bellman,0.015180,1
algiers,0,3,convex,0.013120,1
algiers,1,1,bellman,0.007810,1
algiers,1,1,convex,0.025490,1
algiers,1,2,bellman,0.015300,1
algiers,1,2,convex,0.020340,1
algiers,1,3,bellman,0.023670,1
algiers,1,3,convex,0.020470,1
algiers,2,1,bellman,0.006250,1
algiers,2,1,convex,0.023390,1
algiers,2,2,bellman,0.014640,1
algiers,2,2,convex,0.020430,1
algiers,2,3,bellman,0.069790,1
algiers,2,3,convex,0.229110,1
algiers,3,1,bellman,0.008490,1
algiers,3,1,convex,0.026750,1
algiers,3,2,bellman,0.017830,1
algiers,3,2,convex,0.023560,1
algiers,3,3,bellman,0.084230,1
algiers,3,3,convex,0.277860,1
almaden,0,1,bellman,0.005930,1
almaden,0,1,convex,0.021370,1
almaden,0,2,bellman,0.012860,1
almaden,0,2,convex,0.018120,1
almaden,0,3,bellman,0.019630,1
almaden,0,3,convex,0.066550,1
almaden,1,1,bellman,0.006160,1
almaden,1,1,convex,0.030750,1
almaden,1,2,bellman,0.013160,1
almaden,1,2,convex,0.018160,1
almaden,1,3,bellman,0.020030,1
almaden,1,3,convex,0.019260,1
almaden,2,1,bellman,0.005300,1
almaden,2,1,convex,0.018970,1
almaden,2,2,bellman,0.011070,1
almaden,2,2,convex,0.015070,1
almaden,2,3,bellman,0.016980,1
almaden,2,3,convex,0.015330,1
almaden,3,1,bellman,0.005200,1
almaden,3,1,convex,0.019480,1
almaden,3,2,bellman,0.011420,1
almaden,3,2,convex,0.015710,1
almaden,3,3,bellman,0.017610,1
almaden,3,3,convex,0.015500,1
athens,0,1,bellman,0.003920,1
athens,0,1,convex,0.016450,1
athens,0,2,bellman,0.008690,1
athens,0,2,convex,0.012310,1
athens,0,3,bellman,0.013950,1
athens,0,3,convex,0.011990,1
athens,1,1,bellman,0.004070,1
athens,1,1,convex,0.016160,1
athens,1,2,bellman,0.008910,1
athens,1,2,convex,0.013070,1
athens,1,3,bellman,0.014110,1
athens,1,3,convex,0.012670,1
auckland,0,1,bellman,0.005740,1
auckland,0,1,convex,0.019170,1
auckland,0,2,bellman,0.011660,1
auckland,0,2,convex,0.015670,1
auckland,0,3,bellman,0.018150,1
auckland,0,3,convex,0.015740,1
auckland,1,1,bellman,0.007120,1
auckland,1,1,convex,0.023080,1
auckland,1,2,bellman,0.014640,1
auckland,1,2,convex,0.019550,1
auckland,1,3,bellman,0.023120,1
auckland,1,3,convex,0.019700,1
auckland,2,1,bellman,0.008010,1
auckland,2,1,convex,0.027910,1
auckland,2,2,bellman,0.017860,1
auckland,2,2,convex,0.024350,1
auckland,2,3,bellman,0.026540,1
auckland,2,3,convex,0.024420,1
belem,0,1,bellman,0.003720,1
belem,0,1,convex,0.015530,1
belem,0,2,bellman,0.008810,1
belem,0,2,convex,0.012200,1
belem,0,3,bellman,0.013230,1
belem,0,3,convex,0.012060,1
belem,1,1,bellman,0.004460,1
belem,1,1,convex,0.016330,1
belem,1,2,bellman,0.009810,1
belem,1,2,convex,0.012900,1
belem,1,3,bellman,0.014690,1
belem,1,3,convex,0.013110,1
