hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
cambridge,0,bellman,7,0,0,0.938320,0.938320,0.000000
cambridge,1,bellman,7,0,0,0.911430,0.911430,0.000000
cambridge,2,bellman,7,1,0,0.515960,0.502100,0.013860
cambridge,3,bellman,7,2,0,0.502000,0.470070,0.031930
jakarta,0,bellman,7,3,0,0.981580,0.981580,0.000000
jakarta,1,bellman,7,3,0,0.980050,0.980040,0.000010
jakarta,2,bellman,7,3,0,0.983110,0.983100,0.000010
jakarta,3,bellman,7,3,0,0.984580,0.984580,0.000000
jakarta,4,bellman,7,3,0,0.986610,0.986610,-0.000000
jakarta,5,bellman,7,0,0,0.981820,0.981820,-0.000000
yorktown,0,bellman,7,3,0,0.955880,0.955880,-0.000000
yorktown,1,bellman,7,3,0,0.954360,0.954360,-0.000000
yorktown,2,bellman,7,3,0,0.954280,0.954280,0.000000
yorktown,3,bellman,7,3,0,0.957400,0.957400,-0.000000
yorktown,4,bellman,7,3,0,0.942550,0.942550,0.000000
yorktown,5,bellman,7,0,0,0.965030,0.965030,-0.000000
yorktown,6,bellman,7,0,0,0.961360,0.961360,-0.000000
yorktown,7,bellman,7,3,0,0.950240,0.950240,0.000000
athens,0,bellman,7,0,0,0.979120,0.979120,-0.000000
athens,1,bellman,7,0,0,0.981300,0.981300,-0.000000
athens,2,bellman,7,4,0,0.960170,0.959390,0.000780
athens,3,bellman,7,0,0,0.971980,0.971980,-0.000000
athens,4,bellman,7,5,0,0.953850,0.953850,-0.000000
athens,5,bellman,7,0,0,0.958470,0.958470,0.000000
perfect_hardware,0,bellman,7,0,0,1.000000,1.000000,0.000000
melbourne,0,bellman,7,0,0,0.952590,0.952590,0.000000
melbourne,1,bellman,7,0,0,0.957690,0.957690,0.000000
melbourne,2,bellman,7,0,0,0.909940,0.909940,0.000000
melbourne,3,bellman,7,3,0,0.925690,0.925690,0.000000
rochester,0,bellman,7,0,0,0.926530,0.926530,0.000000
rochester,1,bellman,7,5,0,0.943180,0.943180,0.000000
rochester,2,bellman,7,5,0,0.909660,0.909660,-0.000000
rochester,3,bellman,7,0,0,0.921960,0.921960,0.000000
vigo,0,bellman,7,0,0,0.981720,0.981720,-0.000000
vigo,1,bellman,7,0,0,0.978210,0.978210,-0.000000
vigo,2,bellman,7,3,0,0.981480,0.981480,-0.000000
vigo,3,bellman,7,3,0,0.982640,0.982640,0.000000
belem,0,bellman,7,0,0,0.973050,0.973050,0.000000
belem,1,bellman,7,0,0,0.969300,0.969300,0.000000
