hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
cambridge,0,6,8.569080,0.502000,bellman,330.000000,0
cambridge,1,6,8.390170,0.502000,bellman,327.000000,1
cambridge,2,6,9.230280,0.503010,bellman,375.000000,2
cambridge,3,6,9.059270,0.503010,bellman,375.000000,2
jakarta,0,6,5.605980,0.500000,bellman,274.000000,3
jakarta,1,6,5.472710,0.500000,bellman,281.000000,3
jakarta,2,6,5.324660,0.509070,bellman,280.000000,4
jakarta,3,6,5.288940,0.503010,bellman,280.000000,5
jakarta,4,6,4.918480,0.509070,bellman,277.000000,4
jakarta,5,6,4.990400,0.509070,bellman,276.000000,4
yorktown,0,6,5.351370,0.509070,bellman,373.000000,4
yorktown,1,6,5.196310,0.506030,bellman,326.000000,4
yorktown,2,6,5.166530,0.506030,bellman,323.000000,4
yorktown,3,6,4.790130,0.509070,bellman,331.000000,4
yorktown,4,6,5.240720,0.506030,bellman,333.000000,4
yorktown,5,6,4.665200,0.506030,bellman,371.000000,4
yorktown,6,6,4.719480,0.509070,bellman,377.000000,4
yorktown,7,6,4.612020,0.509070,bellman,376.000000,4
athens,0,6,5.257690,0.503010,bellman,331.000000,2
athens,1,6,5.255540,0.503010,bellman,328.000000,2
athens,2,6,5.038980,0.503010,bellman,330.000000,6
athens,3,6,4.889520,0.501000,bellman,280.000000,1
athens,4,6,4.618920,0.503010,bellman,277.000000,4
athens,5,6,4.571190,0.503010,bellman,280.000000,1
perfect_hardware,0,6,0.437300,0.500000,bellman,29.000000,3
melbourne,0,6,6.505010,0.503010,bellman,330.000000,7
melbourne,1,6,6.445250,0.500500,bellman,327.000000,8
melbourne,2,6,6.216820,0.509070,bellman,381.000000,4
melbourne,3,6,6.093780,0.503010,bellman,375.000000,2
rochester,0,6,8.044360,0.503010,bellman,328.000000,1
rochester,1,6,8.018230,0.503010,bellman,333.000000,4
rochester,2,6,11.289550,0.503010,bellman,372.000000,2
rochester,3,6,11.167770,0.503010,bellman,371.000000,2
vigo,0,6,5.018560,0.509070,bellman,323.000000,4
vigo,1,6,5.291880,0.502500,bellman,326.000000,9
vigo,2,6,4.941190,0.509070,bellman,324.000000,4
vigo,3,6,4.773270,0.509070,bellman,322.000000,4
belem,0,6,4.754050,0.503010,bellman,256.000000,6
belem,1,6,4.768170,0.502000,bellman,256.000000,1
belem,2,6,4.505640,0.503010,bellman,290.000000,1
belem,3,6,4.464330,0.503010,bellman,290.000000,1
brooklyn,0,6,8.962500,0.501000,bellman,252.000000,1
brooklyn,1,6,8.841730,0.502000,bellman,252.000000,1
brooklyn,2,6,11.058580,0.509070,bellman,295.000000,4
brooklyn,3,6,11.074970,0.503010,bellman,295.000000,2
guadalupe,0,6,6.845660,0.500000,bellman,251.000000,3
guadalupe,1,6,6.879520,0.500000,bellman,252.000000,3
guadalupe,2,6,6.086710,0.509070,bellman,252.000000,4
guadalupe,3,6,6.103270,0.509070,bellman,251.000000,4
almaden,0,6,7.147580,0.503010,bellman,363.000000,6
almaden,1,6,7.167930,0.503010,bellman,363.000000,4
almaden,2,6,6.824520,0.503010,bellman,422.000000,7
almaden,3,6,6.223660,0.503010,bellman,422.000000,7
manhattan,0,6,20.706320,0.501000,bellman,316.000000,1
manhattan,1,6,20.715150,0.503010,bellman,316.000000,6
manhattan,2,6,19.160690,0.503010,bellman,321.000000,1
manhattan,3,6,18.810360,0.503010,bellman,320.000000,1
valencia,0,6,5.923520,0.501500,bellman,368.000000,9
valencia,1,6,5.956870,0.506030,bellman,320.000000,4
valencia,2,6,5.598450,0.506030,bellman,363.000000,4
valencia,3,6,5.714800,0.506030,bellman,364.000000,4
boeblingen,0,6,5.781800,0.503010,bellman,380.000000,5
boeblingen,1,6,6.294390,0.503010,bellman,373.000000,6
boeblingen,2,6,6.702810,0.509070,bellman,373.000000,4
boeblingen,3,6,6.717460,0.502500,bellman,374.000000,9
bogota,0,6,5.934070,0.509070,bellman,375.000000,4
bogota,1,6,5.887870,0.506030,bellman,375.000000,4
bogota,2,6,5.578590,0.509070,bellman,376.000000,4
bogota,3,6,5.563690,0.501500,bellman,317.000000,10
bogota,4,6,5.200970,0.500000,bellman,314.000000,3
bogota,5,6,5.166790,0.500000,bellman,305.000000,3
santiago,0,6,5.479130,0.503010,bellman,322.000000,6
santiago,1,6,5.944220,0.503010,bellman,323.000000,4
santiago,2,6,5.594750,0.500000,bellman,323.000000,3
santiago,3,6,5.611430,0.500000,bellman,323.000000,3
santiago,4,6,5.294520,0.500000,bellman,323.000000,3
santiago,5,6,5.302080,0.500000,bellman,323.000000,3
singapore,0,6,8.509890,0.503010,bellman,372.000000,7
singapore,1,6,8.508780,0.503010,bellman,324.000000,5
singapore,2,6,7.788110,0.503010,bellman,375.000000,6
singapore,3,6,6.988230,0.503010,bellman,371.000000,6
johannesburg,0,6,6.283310,0.501000,bellman,374.000000,1
johannesburg,1,6,6.723490,0.502000,bellman,375.000000,1
johannesburg,2,6,8.238710,0.503510,bellman,375.000000,11
johannesburg,3,6,8.270900,0.506030,bellman,375.000000,4
rome,0,6,5.999410,0.503010,bellman,321.000000,1
rome,1,6,5.974430,0.503010,bellman,321.000000,1
rome,2,6,5.621390,0.503010,bellman,321.000000,4
rome,3,6,5.643360,0.503010,bellman,320.000000,1
rome,4,6,5.266840,0.503010,bellman,317.000000,4
rome,5,6,5.251160,0.503010,bellman,312.000000,6
burlington,0,6,4.843110,0.506030,bellman,373.000000,4
burlington,1,6,5.247880,0.509070,bellman,373.000000,4
burlington,2,6,4.891930,0.506030,bellman,374.000000,4
burlington,3,6,5.020090,0.506030,bellman,374.000000,4
poughkeepsie,0,6,8.292960,0.501500,bellman,374.000000,9
poughkeepsie,1,6,8.306740,0.509070,bellman,374.000000,4
poughkeepsie,2,6,6.846890,0.503010,bellman,435.000000,2
poughkeepsie,3,6,6.724980,0.503010,bellman,430.000000,2
kolkata,0,6,11.035210,0.503010,bellman,319.000000,7
kolkata,1,6,11.908400,0.503510,bellman,320.000000,9
kolkata,2,6,8.334850,0.500500,bellman,374.000000,10
kolkata,3,6,8.343140,0.506030,bellman,375.000000,4
quito,0,6,5.925100,0.502000,bellman,435.000000,1
quito,1,6,5.926480,0.503010,bellman,434.000000,6
quito,2,6,5.343850,0.501000,bellman,434.000000,12
quito,3,6,5.610510,0.503010,bellman,429.000000,6
hanoi,0,6,9.499360,0.506030,bellman,320.000000,4
hanoi,1,6,10.580750,0.506030,bellman,320.000000,4
hanoi,2,6,9.508020,0.509070,bellman,320.000000,4
hanoi,3,6,9.518050,0.502500,bellman,320.000000,9
ourense,0,6,5.883380,0.509070,bellman,321.000000,4
ourense,1,6,5.912500,0.503000,bellman,320.000000,13
ourense,2,6,5.341870,0.502000,bellman,320.000000,1
ourense,3,6,5.651100,0.502500,bellman,320.000000,0
washington,0,6,40.124220,0.503010,bellman,365.000000,4
washington,1,6,39.785400,0.503010,bellman,314.000000,1
washington,2,6,8.055020,0.506030,bellman,410.000000,4
washington,3,6,8.355240,0.506030,bellman,406.000000,4
auckland,0,6,7.619780,0.503010,bellman,319.000000,5
auckland,1,6,8.246090,0.503010,bellman,320.000000,6
auckland,2,6,11.299590,0.503010,bellman,319.000000,4
auckland,3,6,11.322020,0.503010,bellman,320.000000,1
essex,0,6,5.134710,0.506030,bellman,374.000000,4
