hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
cambridge,0,bellman,3,0,34,0.945140,0.945140,0.000000
cambridge,0,bellman,4,1,35,0.945140,0.945140,0.000000
cambridge,0,bellman,5,2,36,0.960020,0.960020,0.000000
cambridge,0,bellman,6,3,37,0.960020,0.960020,0.000000
cambridge,0,bellman,7,4,38,0.960760,0.960760,0.000000
cambridge,1,bellman,3,0,34,0.916390,0.916390,0.000000
cambridge,1,bellman,4,1,35,0.916390,0.916390,0.000000
cambridge,1,bellman,5,2,36,0.930310,0.930310,0.000000
cambridge,1,bellman,6,3,37,0.930310,0.930310,0.000000
cambridge,1,bellman,7,4,38,0.931010,0.931010,0.000000
cambridge,2,bellman,3,5,34,0.506960,0.493040,0.013920
cambridge,2,bellman,4,6,35,0.506960,0.493040,0.013920
cambridge,2,bellman,5,7,36,0.510270,0.489730,0.020540
cambridge,2,bellman,6,8,37,0.510270,0.489730,0.020540
cambridge,2,bellman,7,9,38,0.512630,0.487370,0.025270
jakarta,0,bellman,3,0,34,0.967830,0.967830,0.000000
jakarta,0,bellman,4,10,35,0.967830,0.967830,0.000000
jakarta,0,bellman,5,2,36,0.986620,0.986620,0.000000
jakarta,0,bellman,6,11,37,0.986620,0.986620,0.000000
jakarta,0,bellman,7,4,38,0.987750,0.987750,0.000000
jakarta,1,bellman,3,0,34,0.966430,0.966430,0.000000
jakarta,1,bellman,4,10,35,0.966430,0.966430,0.000000
jakarta,1,bellman,5,2,36,0.985170,0.985170,0.000000
jakarta,1,bellman,6,11,37,0.985170,0.985170,0.000000
jakarta,1,bellman,7,4,38,0.986290,0.986290,0.000000
jakarta,2,bellman,3,0,34,0.964700,0.964700,0.000000
jakarta,2,bellman,4,10,35,0.964700,0.964700,0.000000
jakarta,2,bellman,5,2,36,0.987620,0.987620,0.000000
jakarta,2,bellman,6,11,37,0.987620,0.987620,0.000000
jakarta,2,bellman,7,4,38,0.989310,0.989310,0.000000
jakarta,3,bellman,3,0,34,0.936930,0.936930,0.000000
jakarta,3,bellman,4,10,35,0.936930,0.936930,0.000000
jakarta,3,bellman,5,2,36,0.982740,0.982740,0.000000
jakarta,3,bellman,6,11,37,0.982740,0.982740,0.000000
jakarta,3,bellman,7,4,38,0.989940,0.989940,0.000000
jakarta,4,bellman,3,0,34,0.932590,0.932590,0.000000
jakarta,4,bellman,4,10,35,0.932590,0.932590,0.000000
jakarta,4,bellman,5,2,36,0.977950,0.977950,0.000000
jakarta,4,bellman,6,11,37,0.977950,0.977950,0.000000
jakarta,4,bellman,7,4,38,0.985080,0.985080,0.000000
yorktown,0,bellman,3,0,34,0.911440,0.911440,0.000000
yorktown,0,bellman,4,12,35,0.911440,0.911440,0.000000
yorktown,0,bellman,5,2,36,0.960230,0.960230,0.000000
yorktown,0,bellman,6,13,37,0.960230,0.960230,0.000000
yorktown,0,bellman,7,4,38,0.968910,0.968910,0.000000
yorktown,1,bellman,3,0,34,0.941560,0.941560,0.000000
yorktown,1,bellman,4,1,35,0.941560,0.941560,0.000000
yorktown,1,bellman,5,2,36,0.968170,0.968170,0.000000
yorktown,1,bellman,6,3,37,0.968170,0.968170,0.000000
yorktown,1,bellman,7,4,38,0.970570,0.970570,0.000000
yorktown,2,bellman,3,0,34,0.864700,0.864700,0.000000
yorktown,2,bellman,4,10,35,0.864700,0.864700,0.000000
yorktown,2,bellman,5,2,36,0.939040,0.939040,0.000000
yorktown,2,bellman,6,11,37,0.939040,0.939040,0.000000
yorktown,2,bellman,7,4,38,0.961780,0.961780,0.000000
yorktown,3,bellman,3,0,34,0.852590,0.852590,0.000000
yorktown,3,bellman,4,10,35,0.852590,0.852590,0.000000
yorktown,3,bellman,5,2,36,0.924470,0.924470,0.000000
yorktown,3,bellman,6,11,37,0.924470,0.924470,0.000000
yorktown,3,bellman,7,4,38,0.946450,0.946450,0.000000
yorktown,4,bellman,3,0,34,0.949920,0.949920,0.000000
yorktown,4,bellman,4,10,35,0.949920,0.949920,0.000000
yorktown,4,bellman,5,2,36,0.974160,0.974160,0.000000
yorktown,4,bellman,6,11,37,0.974160,0.974160,0.000000
yorktown,4,bellman,7,4,38,0.976120,0.976120,0.000000
yorktown,5,bellman,3,0,34,0.692540,0.692540,0.000000
yorktown,5,bellman,4,10,35,0.692540,0.692540,0.000000
yorktown,5,bellman,5,2,36,0.772200,0.772200,0.000000
yorktown,5,bellman,6,11,37,0.772200,0.772200,0.000000
yorktown,5,bellman,7,4,38,0.821630,0.821630,0.000000
athens,0,bellman,3,0,34,0.975810,0.975810,0.000000
athens,0,bellman,4,10,35,0.975810,0.975810,0.000000
athens,0,bellman,5,2,36,0.986820,0.986820,0.000000
athens,0,bellman,6,11,37,0.986820,0.986820,0.000000
athens,0,bellman,7,4,38,0.987200,0.987200,0.000000
athens,1,bellman,3,0,34,0.954560,0.954560,0.000000
athens,1,bellman,4,10,35,0.954560,0.954560,0.000000
athens,1,bellman,5,2,36,0.976120,0.976120,0.000000
athens,1,bellman,6,11,37,0.976120,0.976120,0.000000
athens,1,bellman,7,4,38,0.977650,0.977650,0.000000
athens,2,bellman,3,0,34,0.956850,0.956850,0.000000
athens,2,bellman,4,1,35,0.956850,0.956850,0.000000
athens,2,bellman,5,2,36,0.970610,0.970610,0.000000
athens,2,bellman,6,3,37,0.970610,0.970610,0.000000
athens,2,bellman,7,4,38,0.971230,0.971230,0.000000
perfect_hardware,0,bellman,3,14,34,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,4,15,35,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,5,16,36,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,6,17,37,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,7,18,38,1.000000,1.000000,0.000000
melbourne,0,bellman,3,0,34,0.946070,0.946070,0.000000
melbourne,0,bellman,4,1,35,0.946070,0.946070,0.000000
melbourne,0,bellman,5,2,36,0.969080,0.969080,0.000000
melbourne,0,bellman,6,3,37,0.969080,0.969080,0.000000
melbourne,0,bellman,7,4,38,0.970860,0.970860,0.000000
melbourne,1,bellman,3,0,34,0.779730,0.779730,0.000000
melbourne,1,bellman,4,10,35,0.779730,0.779730,0.000000
melbourne,1,bellman,5,2,36,0.864650,0.864650,0.000000
melbourne,1,bellman,6,11,37,0.864650,0.864650,0.000000
melbourne,1,bellman,7,4,38,0.903310,0.903310,0.000000
rochester,0,bellman,3,0,34,0.949760,0.949760,0.000000
rochester,0,bellman,4,10,35,0.949770,0.949760,0.000000
rochester,0,bellman,5,2,36,0.958670,0.958670,0.000000
rochester,0,bellman,6,11,37,0.958670,0.958670,0.000000
rochester,0,bellman,7,4,38,0.958930,0.958930,0.000000
rochester,1,bellman,3,0,34,0.586630,0.586630,0.000000
rochester,1,bellman,4,10,35,0.586630,0.586630,0.000000
rochester,1,bellman,5,2,36,0.628290,0.628290,0.000000
rochester,1,bellman,6,11,37,0.628290,0.628290,0.000000
rochester,1,bellman,7,4,38,0.658360,0.658360,0.000000
vigo,0,bellman,3,0,34,0.967250,0.967250,0.000000
vigo,0,bellman,4,12,35,0.967250,0.967250,0.000000
vigo,0,bellman,5,2,36,0.987800,0.987800,0.000000
vigo,0,bellman,6,13,37,0.987800,0.987800,0.000000
vigo,0,bellman,7,4,38,0.989160,0.989160,0.000000
vigo,1,bellman,3,0,34,0.963840,0.963840,0.000000
vigo,1,bellman,4,10,35,0.963840,0.963840,0.000000
vigo,1,bellman,5,2,36,0.984240,0.984240,0.000000
vigo,1,bellman,6,11,37,0.984240,0.984240,0.000000
vigo,1,bellman,7,4,38,0.985590,0.985590,0.000000
vigo,2,bellman,3,0,34,0.967780,0.967780,0.000000
vigo,2,bellman,4,12,35,0.967780,0.967780,0.000000
vigo,2,bellman,5,2,36,0.987460,0.987460,0.000000
vigo,2,bellman,6,13,37,0.987460,0.987460,0.000000
vigo,2,bellman,7,4,38,0.988700,0.988700,0.000000
belem,0,bellman,3,0,34,0.952620,0.952620,0.000000
belem,0,bellman,4,12,35,0.952620,0.952620,0.000000
belem,0,bellman,5,2,36,0.980660,0.980660,0.000000
belem,0,bellman,6,13,37,0.980660,0.980660,0.000000
belem,0,bellman,7,4,38,0.983260,0.983260,0.000000
belem,1,bellman,3,0,34,0.949050,0.949050,0.000000
belem,1,bellman,4,12,35,0.949050,0.949050,0.000000
belem,1,bellman,5,2,36,0.976870,0.976870,0.000000
belem,1,bellman,6,13,37,0.976870,0.976870,0.000000
belem,1,bellman,7,4,38,0.979460,0.979460,0.000000
belem,2,bellman,3,0,34,0.948160,0.948160,0.000000
belem,2,bellman,4,10,35,0.948160,0.948160,0.000000
belem,2,bellman,5,2,36,0.977600,0.977600,0.000000
belem,2,bellman,6,11,37,0.977600,0.977600,0.000000
belem,2,bellman,7,4,38,0.980500,0.980500,0.000000
brooklyn,0,bellman,3,0,34,0.977760,0.977760,0.000000
brooklyn,0,bellman,4,12,35,0.977760,0.977760,0.000000
brooklyn,0,bellman,5,2,36,0.989560,0.989560,0.000000
brooklyn,0,bellman,6,13,37,0.989560,0.989560,0.000000
brooklyn,0,bellman,7,4,38,0.989990,0.989990,0.000000
brooklyn,1,bellman,3,0,34,0.976440,0.976440,0.000000
brooklyn,1,bellman,4,10,35,0.976440,0.976440,0.000000
brooklyn,1,bellman,5,2,36,0.988200,0.988200,0.000000
brooklyn,1,bellman,6,11,37,0.988200,0.988200,0.000000
brooklyn,1,bellman,7,4,38,0.988630,0.988630,0.000000
brooklyn,2,bellman,3,0,34,0.864900,0.864900,0.000000
brooklyn,2,bellman,4,12,35,0.864900,0.864900,0.000000
brooklyn,2,bellman,5,2,36,0.922740,0.922740,0.000000
brooklyn,2,bellman,6,13,37,0.922740,0.922740,0.000000
brooklyn,2,bellman,7,4,38,0.936500,0.936500,0.000000
guadalupe,0,bellman,3,0,34,0.928820,0.928820,0.000000
guadalupe,0,bellman,4,10,35,0.928820,0.928820,0.000000
guadalupe,0,bellman,5,2,36,0.977560,0.977560,0.000000
guadalupe,0,bellman,6,11,37,0.977560,0.977560,0.000000
guadalupe,0,bellman,7,4,38,0.985880,0.985880,0.000000
guadalupe,1,bellman,3,0,34,0.926640,0.926640,0.000000
guadalupe,1,bellman,4,10,35,0.926640,0.926640,0.000000
guadalupe,1,bellman,5,2,36,0.975140,0.975140,0.000000
guadalupe,1,bellman,6,11,37,0.975140,0.975140,0.000000
guadalupe,1,bellman,7,4,38,0.983410,0.983410,0.000000
guadalupe,2,bellman,3,0,34,0.975710,0.975710,0.000000
guadalupe,2,bellman,4,10,35,0.975710,0.975710,0.000000
guadalupe,2,bellman,5,2,36,0.986710,0.986710,0.000000
guadalupe,2,bellman,6,11,37,0.986710,0.986710,0.000000
guadalupe,2,bellman,7,4,38,0.987090,0.987090,0.000000
almaden,0,bellman,3,0,34,0.752480,0.752480,0.000000
almaden,0,bellman,4,10,35,0.752480,0.752480,0.000000
almaden,0,bellman,5,2,36,0.841000,0.841000,0.000000
almaden,0,bellman,6,11,37,0.841000,0.841000,0.000000
almaden,0,bellman,7,4,38,0.887550,0.887550,0.000000
almaden,1,bellman,3,0,34,0.743900,0.743900,0.000000
almaden,1,bellman,4,1,35,0.743900,0.743900,0.000000
almaden,1,bellman,5,2,36,0.829410,0.829410,0.000000
almaden,1,bellman,6,3,37,0.829410,0.829410,0.000000
almaden,1,bellman,7,4,38,0.874370,0.874370,0.000000
almaden,2,bellman,3,0,34,0.961670,0.961670,0.000000
almaden,2,bellman,4,10,35,0.961670,0.961670,0.000000
almaden,2,bellman,5,2,36,0.978290,0.978290,0.000000
almaden,2,bellman,6,11,37,0.978290,0.978290,0.000000
almaden,2,bellman,7,4,38,0.979180,0.979180,0.000000
manhattan,0,bellman,3,0,34,0.500430,0.500430,0.000000
manhattan,0,bellman,4,12,35,0.500430,0.500430,0.000000
manhattan,0,bellman,5,2,36,0.500630,0.500630,0.000000
manhattan,0,bellman,6,13,37,0.500630,0.500630,0.000000
manhattan,0,bellman,7,4,38,0.500780,0.500780,0.000000
manhattan,1,bellman,3,0,34,0.500430,0.500430,0.000000
manhattan,1,bellman,4,10,35,0.500430,0.500430,0.000000
manhattan,1,bellman,5,2,36,0.500630,0.500630,0.000000
manhattan,1,bellman,6,11,37,0.500630,0.500630,0.000000
manhattan,1,bellman,7,4,38,0.500780,0.500780,0.000000
manhattan,2,bellman,3,0,34,0.975730,0.975730,0.000000
manhattan,2,bellman,4,12,35,0.975730,0.975730,0.000000
manhattan,2,bellman,5,2,36,0.981690,0.981690,0.000000
manhattan,2,bellman,6,13,37,0.981690,0.981690,0.000000
manhattan,2,bellman,7,4,38,0.981800,0.981800,0.000000
valencia,0,bellman,3,0,34,0.965200,0.965200,0.000000
valencia,0,bellman,4,1,35,0.965200,0.965200,0.000000
valencia,0,bellman,5,2,36,0.986460,0.986460,0.000000
valencia,0,bellman,6,3,37,0.986460,0.986460,0.000000
valencia,0,bellman,7,4,38,0.987920,0.987920,0.000000
valencia,1,bellman,3,0,34,0.962960,0.962960,0.000000
valencia,1,bellman,4,1,35,0.962960,0.962960,0.000000
valencia,1,bellman,5,2,36,0.984120,0.984120,0.000000
valencia,1,bellman,6,3,37,0.984120,0.984120,0.000000
valencia,1,bellman,7,4,38,0.985570,0.985570,0.000000
valencia,2,bellman,3,0,34,0.955070,0.955070,0.000000
valencia,2,bellman,4,1,35,0.955070,0.955070,0.000000
valencia,2,bellman,5,2,36,0.981810,0.981810,0.000000
valencia,2,bellman,6,3,37,0.981810,0.981810,0.000000
valencia,2,bellman,7,4,38,0.984170,0.984170,0.000000
boeblingen,0,bellman,3,0,34,0.957260,0.957260,0.000000
