hardware,embedding_index,meas0_sucess,meas1_sucess
algiers,0,0.995200,0.995200
algiers,1,0.956700,0.956700
almaden,0,0.773333,0.773333
almaden,1,0.773333,0.773333
almaden,2,0.981667,0.981667
athens,0,0.988300,0.988300
athens,1,0.975700,0.975700
athens,2,0.984700,0.984700
auckland,0,0.994500,0.994500
auckland,1,0.980800,0.980800
belem,0,0.968000,0.968000
belem,1,0.968000,0.968000
belem,2,0.966000,0.966000
boeblingen,0,0.982200,0.982200
boeblingen,1,0.871700,0.871700
bogota,0,0.972900,0.972900
bogota,1,0.966100,0.966100
bogota,2,0.943400,0.943400
brooklyn,0,0.987500,0.987500
brooklyn,1,0.987500,0.987500
brooklyn,2,0.913200,0.913200
burlington,0,0.951500,0.951500
burlington,1,0.951500,0.951500
burlington,2,0.968000,0.968000
cairo,0,0.986100,0.986100
cairo,1,0.850800,0.850800
cambridge,0,0.983000,0.983000
cambridge,1,0.983000,0.983000
cambridge,2,0.610000,0.610000
casablanca,0,0.985600,0.985600
casablanca,1,0.985600,0.985600
casablanca,2,0.984400,0.984400
casablanca,3,0.982600,0.982600
casablanca,4,0.982600,0.982600
essex,0,0.969300,0.969300
essex,1,0.969300,0.969300
essex,2,0.963300,0.963300
geneva,0,0.858600,0.858600
geneva,1,0.986200,0.986200
geneva,2,0.986200,0.986200
guadalupe,0,0.939500,0.939500
guadalupe,1,0.939500,0.939500
guadalupe,2,0.988300,0.988300
hanoi,0,0.993700,0.993700
hanoi,1,0.993700,0.993700
hanoi,2,0.915700,0.915700
jakarta,0,0.979500,0.979500
jakarta,1,0.979500,0.979500
jakarta,2,0.974700,0.974700
jakarta,3,0.944500,0.944500
jakarta,4,0.944500,0.944500
johannesburg,0,0.982500,0.982500
johannesburg,1,0.982500,0.982500
johannesburg,2,0.827300,0.827300
kolkata,0,0.953700,0.953700
kolkata,1,0.995100,0.995100
kolkata,2,0.995100,0.995100
lagos,0,0.863800,0.863800
lagos,1,0.863800,0.863800
lagos,2,0.983300,0.983300
lagos,3,0.738100,0.738100
lagos,4,0.738100,0.738100
lima,0,0.980000,0.980000
lima,1,0.980000,0.980000
lima,2,0.948500,0.948500
london,0,0.951667,0.951667
london,1,0.951667,0.951667
london,2,0.983333,0.983333
melbourne,0,0.973500,0.973500
melbourne,1,0.813400,0.813400
manhattan,0,0.596300,0.596300
manhattan,1,0.596300,0.596300
manhattan,2,0.993700,0.993700
manila,0,0.978100,0.978100
manila,1,0.903600,0.903600
manila,2,0.985600,0.985600
montreal,0,0.992900,0.992900
montreal,1,0.903300,0.903300
mumbai,0,0.985900,0.985900
mumbai,1,0.898800,0.898800
mumbai,2,0.898800,0.898800
nairobi,0,0.980100,0.980100
nairobi,1,0.980100,0.980100
nairobi,2,0.977700,0.977700
nairobi,3,0.977500,0.977500
nairobi,4,0.977500,0.977500
oslo,0,0.985700,0.985700
oslo,1,0.985700,0.985700
oslo,2,0.984600,0.984600
oslo,3,0.990100,0.990100
oslo,4,0.990100,0.990100
ourense,0,0.970500,0.970500
ourense,1,0.970500,0.970500
ourense,2,0.968200,0.968200
paris,0,0.788900,0.788900
paris,1,0.990800,0.990800
paris,2,0.990800,0.990800
perth,0,0.974600,0.974600
perth,1,0.974600,0.974600
perth,2,0.971000,0.971000
perth,3,0.956900,0.956900
perth,4,0.956900,0.956900
poughkeepsie,0,0.827000,0.827000
poughkeepsie,1,0.827000,0.827000
poughkeepsie,2,0.979000,0.979000
quito,0,0.978000,0.978000
quito,1,0.978000,0.978000
quito,2,0.955000,0.955000
rochester,0,0.990000,0.990000
rochester,1,0.597500,0.597500
rome,0,0.969900,0.969900
rome,1,0.978600,0.978600
rome,2,0.976300,0.976300
santiago,0,0.985600,0.985600
santiago,1,0.982000,0.982000
santiago,2,0.984400,0.984400
singapore,0,0.912000,0.912000
singapore,1,0.912000,0.912000
singapore,2,0.983000,0.983000
sydney,0,0.990700,0.990700
sydney,1,0.881600,0.881600
sydney,2,0.881600,0.881600
toronto,0,0.725500,0.725500
toronto,1,0.992200,0.992200
toronto,2,0.992200,0.992200
valencia,0,0.976600,0.976600
valencia,1,0.976600,0.976600
valencia,2,0.969700,0.969700
vigo,0,0.977500,0.977500
vigo,1,0.977500,0.977500
vigo,2,0.978500,0.978500
washington,0,0.755000,0.755000
washington,1,0.755000,0.755000
washington,2,0.997200,0.997200
yorktown,0,0.936700,0.936700
yorktown,1,0.968900,0.968900
yorktown,2,0.884800,0.884800
yorktown,3,0.884800,0.884800
yorktown,4,0.972300,0.972300
yorktown,5,0.707700,0.707700
perfect_hardware,0,1.000000,1.000000
