hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
cambridge,0,3,0.763570,0.945850,bellman,0.000000,0
cambridge,0,4,0.763570,0.945890,bellman,3.000000,1
cambridge,0,5,0.763570,0.960730,bellman,15.000000,2
cambridge,0,6,0.763570,0.960730,bellman,64.000000,3
cambridge,0,7,0.763570,0.961640,bellman,270.000000,4
cambridge,1,3,0.750460,0.917600,bellman,0.000000,0
cambridge,1,4,0.750460,0.917640,bellman,4.000000,1
cambridge,1,5,0.750460,0.931530,bellman,19.000000,2
cambridge,1,6,0.750460,0.931530,bellman,81.000000,3
cambridge,1,7,0.750460,0.932230,bellman,343.000000,5
cambridge,2,3,0.798630,0.507420,bellman,0.000000,6
cambridge,2,4,0.798630,0.507650,bellman,4.000000,7
cambridge,2,5,0.798630,0.510710,bellman,19.000000,8
cambridge,2,6,0.798630,0.510880,bellman,82.000000,9
cambridge,2,7,0.798630,0.513060,bellman,342.000000,10
jakarta,0,3,0.398740,0.937410,bellman,0.000000,0
jakarta,0,4,0.398740,0.938380,bellman,3.000000,11
jakarta,0,5,0.398740,0.985560,bellman,15.000000,2
jakarta,0,6,0.398740,0.986550,bellman,64.000000,12
jakarta,0,7,0.398740,0.994870,bellman,269.000000,5
jakarta,1,3,0.415110,0.932910,bellman,0.000000,0
jakarta,1,4,0.415110,0.933870,bellman,3.000000,11
jakarta,1,5,0.415110,0.980620,bellman,15.000000,2
jakarta,1,6,0.415110,0.981610,bellman,65.000000,12
jakarta,1,7,0.415110,0.989860,bellman,268.000000,5
jakarta,2,3,0.364200,0.966530,bellman,0.000000,0
jakarta,2,4,0.364200,0.966600,bellman,3.000000,1
jakarta,2,5,0.364200,0.989190,bellman,15.000000,13
jakarta,2,6,0.364200,0.989200,bellman,64.000000,14
jakarta,2,7,0.364200,0.992000,bellman,267.000000,15
jakarta,3,3,0.330860,0.968490,bellman,0.000000,0
jakarta,3,4,0.330860,0.969480,bellman,3.000000,11
jakarta,3,5,0.330860,0.989690,bellman,15.000000,2
jakarta,3,6,0.330860,0.990680,bellman,64.000000,12
jakarta,3,7,0.330860,0.992860,bellman,266.000000,5
jakarta,4,3,0.337260,0.966030,bellman,0.000000,0
jakarta,4,4,0.337260,0.967010,bellman,3.000000,11
jakarta,4,5,0.337260,0.987180,bellman,15.000000,2
jakarta,4,6,0.337260,0.988170,bellman,64.000000,12
jakarta,4,7,0.337260,0.990340,bellman,265.000000,5
yorktown,0,3,0.356880,0.691970,bellman,0.000000,0
yorktown,0,4,0.356880,0.692070,bellman,3.000000,11
yorktown,0,5,0.356880,0.771650,bellman,15.000000,2
yorktown,0,6,0.356880,0.771720,bellman,63.000000,12
yorktown,0,7,0.356880,0.821070,bellman,265.000000,5
yorktown,1,3,0.358600,0.950930,bellman,0.000000,0
yorktown,1,4,0.358600,0.951880,bellman,4.000000,16
yorktown,1,5,0.358600,0.975380,bellman,19.000000,2
yorktown,1,6,0.358600,0.976360,bellman,81.000000,17
yorktown,1,7,0.358600,0.977600,bellman,337.000000,4
yorktown,2,3,0.333750,0.863430,bellman,0.000000,0
yorktown,2,4,0.333750,0.863480,bellman,3.000000,11
yorktown,2,5,0.333750,0.937770,bellman,15.000000,2
yorktown,2,6,0.333750,0.937780,bellman,63.000000,12
yorktown,2,7,0.333750,0.960460,bellman,265.000000,5
yorktown,3,3,0.345910,0.852330,bellman,0.000000,0
yorktown,3,4,0.345910,0.853180,bellman,4.000000,16
yorktown,3,5,0.345910,0.924090,bellman,19.000000,2
yorktown,3,6,0.345910,0.925020,bellman,81.000000,17
yorktown,3,7,0.345910,0.946010,bellman,337.000000,5
yorktown,4,3,0.316290,0.941350,bellman,0.000000,0
yorktown,4,4,0.316290,0.942290,bellman,4.000000,16
yorktown,4,5,0.316290,0.967880,bellman,19.000000,2
yorktown,4,6,0.316290,0.968850,bellman,81.000000,17
yorktown,4,7,0.316290,0.970270,bellman,337.000000,5
yorktown,5,3,0.315110,0.912160,bellman,0.000000,0
yorktown,5,4,0.315110,0.913070,bellman,4.000000,16
yorktown,5,5,0.315110,0.960790,bellman,19.000000,2
yorktown,5,6,0.315110,0.961750,bellman,81.000000,17
yorktown,5,7,0.315110,0.969400,bellman,338.000000,5
athens,0,3,0.351720,0.956860,bellman,0.000000,0
athens,0,4,0.351720,0.956860,bellman,3.000000,16
athens,0,5,0.351720,0.970370,bellman,15.000000,13
athens,0,6,0.351720,0.970370,bellman,64.000000,18
athens,0,7,0.351720,0.970970,bellman,270.000000,19
athens,1,3,0.335140,0.956080,bellman,0.000000,0
athens,1,4,0.335140,0.956150,bellman,3.000000,1
athens,1,5,0.335140,0.977380,bellman,15.000000,13
athens,1,6,0.335140,0.977380,bellman,64.000000,14
athens,1,7,0.335140,0.979620,bellman,270.000000,15
athens,2,3,0.337390,0.975300,bellman,0.000000,0
athens,2,4,0.337390,0.975300,bellman,3.000000,16
athens,2,5,0.337390,0.986580,bellman,15.000000,13
athens,2,6,0.337390,0.986580,bellman,64.000000,18
athens,2,7,0.337390,0.986980,bellman,270.000000,19
perfect_hardware,0,3,0.004940,1.000000,bellman,0.000000,20
perfect_hardware,0,4,0.004940,1.000000,bellman,0.000000,21
perfect_hardware,0,5,0.004940,1.000000,bellman,0.000000,22
perfect_hardware,0,6,0.004940,1.000000,bellman,2.000000,23
perfect_hardware,0,7,0.004940,1.000000,bellman,8.000000,24
melbourne,0,3,0.484060,0.946560,bellman,0.000000,0
melbourne,0,4,0.484060,0.947510,bellman,4.000000,16
melbourne,0,5,0.484060,0.971920,bellman,19.000000,2
melbourne,0,6,0.484060,0.972890,bellman,81.000000,17
melbourne,0,7,0.484060,0.975710,bellman,342.000000,5
melbourne,1,3,0.426170,0.778430,bellman,0.000000,0
melbourne,1,4,0.426170,0.778510,bellman,3.000000,11
melbourne,1,5,0.426170,0.863470,bellman,15.000000,2
melbourne,1,6,0.426170,0.863510,bellman,65.000000,12
melbourne,1,7,0.426170,0.902260,bellman,269.000000,5
rochester,0,3,0.717620,0.949900,bellman,0.000000,0
rochester,0,4,0.717620,0.949900,bellman,4.000000,16
rochester,0,5,0.717620,0.958810,bellman,19.000000,2
rochester,0,6,0.717620,0.958810,bellman,82.000000,17
