hardware,embedding_index,gate_name,probability
algiers,0,CNOT,0.970844
algiers,0,CNOT,0.991752
algiers,0,X,0.999600
algiers,1,CNOT,0.958976
algiers,1,CNOT,0.982662
algiers,1,X,0.999737
almaden,0,CNOT,0.959189
almaden,0,CNOT,0.969375
almaden,0,U3,0.997565
almaden,1,CNOT,0.959189
almaden,1,CNOT,0.938512
almaden,1,U3,0.997614
almaden,2,CNOT,0.975853
almaden,2,CNOT,0.986175
almaden,2,U3,0.997822
athens,0,CNOT,0.986109
athens,0,CNOT,0.990051
athens,0,X,0.999536
athens,1,CNOT,0.990051
athens,1,CNOT,0.968226
athens,1,X,0.999539
athens,2,CNOT,0.977398
athens,2,CNOT,0.968226
athens,2,X,0.999549
auckland,0,CNOT,0.990780
auckland,0,CNOT,0.989568
auckland,0,X,0.999502
auckland,1,CNOT,0.970804
auckland,1,CNOT,0.989875
auckland,1,X,0.999650
belem,0,CNOT,0.982571
belem,0,CNOT,0.986633
belem,0,X,0.999555
belem,1,CNOT,0.982571
belem,1,CNOT,0.979302
belem,1,X,0.999654
belem,2,CNOT,0.981564
belem,2,CNOT,0.982571
belem,2,X,0.999383
boeblingen,0,CNOT,0.984082
boeblingen,0,CNOT,0.968067
boeblingen,0,U3,0.998017
boeblingen,1,CNOT,0.973057
boeblingen,1,CNOT,0.984082
boeblingen,1,U3,0.997914
bogota,0,CNOT,0.975893
bogota,0,CNOT,0.989245
bogota,0,X,0.999664
bogota,1,CNOT,0.989245
bogota,1,CNOT,0.905627
bogota,1,X,0.999699
bogota,2,CNOT,0.987081
bogota,2,CNOT,0.905627
bogota,2,X,0.999635
brooklyn,0,CNOT,0.990178
brooklyn,0,CNOT,0.991247
brooklyn,0,X,0.999609
brooklyn,1,CNOT,0.990178
brooklyn,1,CNOT,0.988800
brooklyn,1,X,0.999397
brooklyn,2,CNOT,0.943552
brooklyn,2,CNOT,0.943849
brooklyn,2,X,0.999324
burlington,0,CNOT,0.971740
burlington,0,CNOT,0.988574
burlington,0,U3,0.999062
burlington,1,CNOT,0.971740
burlington,1,CNOT,0.968796
burlington,1,U3,0.995593
burlington,2,CNOT,0.971740
burlington,2,CNOT,0.988016
burlington,2,U3,0.998325
cairo,0,CNOT,0.994608
cairo,0,CNOT,0.993715
cairo,0,X,0.999685
cairo,1,CNOT,0.960856
cairo,1,CNOT,0.964225
cairo,1,X,0.999772
cambridge,0,CNOT,0.960467
cambridge,0,CNOT,0.965320
cambridge,0,U3,0.998713
cambridge,1,CNOT,0.909940
cambridge,1,CNOT,0.960467
cambridge,1,U3,0.993546
cambridge,2,CNOT,0.953668
cambridge,2,CNOT,0.500000
cambridge,2,U3,0.997451
casablanca,0,CNOT,0.990641
casablanca,0,CNOT,0.979720
casablanca,0,X,0.999608
casablanca,1,CNOT,0.977097
casablanca,1,CNOT,0.979720
casablanca,1,X,0.999473
casablanca,2,CNOT,0.984213
casablanca,2,CNOT,0.990641
casablanca,2,X,0.998653
casablanca,3,CNOT,0.989127
casablanca,3,CNOT,0.984213
casablanca,3,X,0.999305
casablanca,4,CNOT,0.983638
casablanca,4,CNOT,0.984213
casablanca,4,X,0.999186
essex,0,CNOT,0.978042
essex,0,CNOT,0.986121
essex,0,U3,0.999071
essex,1,CNOT,0.978042
essex,1,CNOT,0.965330
essex,1,U3,0.997219
essex,2,CNOT,0.964730
essex,2,CNOT,0.978042
essex,2,U3,0.997633
geneva,0,CNOT,0.970609
geneva,0,CNOT,0.987231
geneva,0,X,0.999834
geneva,1,CNOT,0.984069
geneva,1,CNOT,0.984151
geneva,1,X,0.999736
geneva,2,CNOT,0.984069
geneva,2,CNOT,0.966339
geneva,2,X,0.998474
guadalupe,0,CNOT,0.988505
guadalupe,0,CNOT,0.988915
guadalupe,0,X,0.999428
guadalupe,1,CNOT,0.988505
guadalupe,1,CNOT,0.984103
guadalupe,1,X,0.999616
guadalupe,2,CNOT,0.990998
guadalupe,2,CNOT,0.984886
guadalupe,2,X,0.999670
hanoi,0,CNOT,0.992084
hanoi,0,CNOT,0.994440
hanoi,0,X,0.999722
hanoi,1,CNOT,0.985446
hanoi,1,CNOT,0.992084
hanoi,1,X,0.999442
hanoi,2,CNOT,0.994440
hanoi,2,CNOT,0.990379
hanoi,2,X,0.999278
jakarta,0,CNOT,0.988634
jakarta,0,CNOT,0.988858
jakarta,0,X,0.999263
jakarta,1,CNOT,0.988634
jakarta,1,CNOT,0.985910
jakarta,1,X,0.999571
jakarta,2,CNOT,0.991773
jakarta,2,CNOT,0.988634
jakarta,2,X,0.999587
jakarta,3,CNOT,0.992385
jakarta,3,CNOT,0.991773
jakarta,3,X,0.999698
jakarta,4,CNOT,0.983225
jakarta,4,CNOT,0.991773
jakarta,4,X,0.999572
johannesburg,0,CNOT,0.966966
johannesburg,0,CNOT,0.976644
johannesburg,0,U3,0.994457
johannesburg,1,CNOT,0.966966
johannesburg,1,CNOT,0.947958
johannesburg,1,U3,0.996087
johannesburg,2,CNOT,0.972291
johannesburg,2,CNOT,0.970925
johannesburg,2,U3,0.998045
kolkata,0,CNOT,0.956911
kolkata,0,CNOT,0.921504
kolkata,0,X,0.999774
kolkata,1,CNOT,0.993001
kolkata,1,CNOT,0.991688
kolkata,1,X,0.999752
kolkata,2,CNOT,0.988214
kolkata,2,CNOT,0.991688
kolkata,2,X,0.999677
lagos,0,CNOT,0.988288
lagos,0,CNOT,0.987177
lagos,0,X,0.999753
lagos,1,CNOT,0.986589
lagos,1,CNOT,0.987177
lagos,1,X,0.999558
lagos,2,CNOT,0.963778
lagos,2,CNOT,0.986589
lagos,2,X,0.999622
lagos,3,CNOT,0.989673
lagos,3,CNOT,0.974733
lagos,3,X,0.999621
lagos,4,CNOT,0.974733
lagos,4,CNOT,0.963778
lagos,4,X,0.999558
lima,0,CNOT,0.989575
lima,0,CNOT,0.992548
lima,0,X,0.999729
lima,1,CNOT,0.989575
lima,1,CNOT,0.987750
lima,1,X,0.999411
lima,2,CNOT,0.974456
lima,2,CNOT,0.987750
lima,2,X,0.999504
london,0,CNOT,0.989343
london,0,CNOT,0.989483
london,0,U3,0.998846
london,1,CNOT,0.989343
london,1,CNOT,0.983436
london,1,U3,0.998724
london,2,CNOT,0.973707
london,2,CNOT,0.983436
london,2,U3,0.998266
melbourne,0,CNOT,0.976959
melbourne,0,CNOT,0.968848
melbourne,0,X,0.998494
melbourne,1,CNOT,0.935553
melbourne,1,CNOT,0.961743
melbourne,1,X,0.998863
manhattan,0,CNOT,0.500000
manhattan,0,CNOT,0.500000
manhattan,0,X,0.999426
manhattan,1,CNOT,0.500000
manhattan,1,CNOT,0.500000
manhattan,1,X,0.999217
manhattan,2,CNOT,0.983879
manhattan,2,CNOT,0.982023
manhattan,2,X,0.999462
manila,0,CNOT,0.988965
manila,0,CNOT,0.982575
manila,0,X,0.999767
manila,1,CNOT,0.982575
manila,1,CNOT,0.985807
manila,1,X,0.999682
manila,2,CNOT,0.992880
manila,2,CNOT,0.985807
manila,2,X,0.999469
montreal,0,CNOT,0.991247
montreal,0,CNOT,0.990814
montreal,0,X,0.999632
montreal,1,CNOT,0.988162
montreal,1,CNOT,0.990110
montreal,1,X,0.999294
mumbai,0,CNOT,0.957246
mumbai,0,CNOT,0.992977
mumbai,0,X,0.999540
mumbai,1,CNOT,0.994143
mumbai,1,CNOT,0.993610
mumbai,1,X,0.999627
mumbai,2,CNOT,0.993461
mumbai,2,CNOT,0.993610
mumbai,2,X,0.999627
nairobi,0,CNOT,0.991511
nairobi,0,CNOT,0.991272
nairobi,0,X,0.999388
nairobi,1,CNOT,0.989257
nairobi,1,CNOT,0.991272
nairobi,1,X,0.999405
nairobi,2,CNOT,0.984285
nairobi,2,CNOT,0.991511
nairobi,2,X,0.999540
nairobi,3,CNOT,0.991244
nairobi,3,CNOT,0.986675
nairobi,3,X,0.999203
nairobi,4,CNOT,0.986675
nairobi,4,CNOT,0.984285
nairobi,4,X,0.999388
