hardware,embedding_index,algorithm_index,probability,method
algiers,0,0,0.975450,bellman
algiers,0,1,0.975450,bellman
algiers,0,2,0.979990,bellman
algiers,0,3,0.979990,bellman
algiers,0,4,0.980060,bellman
algiers,0,5,0.024550,bellman
algiers,0,6,0.024550,bellman
algiers,0,7,0.020010,bellman
algiers,0,8,0.020010,bellman
algiers,0,9,0.019940,bellman
algiers,0,10,0.975450,bellman
algiers,0,11,0.979990,bellman
algiers,0,12,0.975450,bellman
algiers,0,13,0.979990,bellman
algiers,0,14,0.975450,bellman
algiers,0,15,0.975450,bellman
algiers,0,16,0.975450,bellman
algiers,0,17,0.975450,bellman
algiers,0,18,0.975450,bellman
algiers,0,19,0.024550,bellman
algiers,0,20,0.020010,bellman
algiers,0,21,0.980000,bellman
algiers,0,22,0.980070,bellman
algiers,0,23,0.980060,bellman
algiers,0,24,0.980060,bellman
algiers,0,25,0.980060,bellman
algiers,0,26,0.980070,bellman
algiers,0,27,0.984430,bellman
algiers,0,28,0.984430,bellman
algiers,0,29,0.982250,bellman
algiers,0,30,0.984430,bellman
algiers,0,31,0.019940,bellman
algiers,0,32,0.019940,bellman
algiers,0,33,0.975450,bellman
algiers,0,34,0.975450,bellman
algiers,0,35,0.975450,bellman
algiers,0,36,0.979990,bellman
algiers,0,37,0.979990,bellman
algiers,0,38,0.980060,bellman
algiers,0,39,0.980060,bellman
algiers,1,0,0.928560,bellman
algiers,1,1,0.928560,bellman
algiers,1,2,0.964070,bellman
algiers,1,3,0.964070,bellman
algiers,1,4,0.968480,bellman
algiers,1,5,0.071440,bellman
algiers,1,6,0.071440,bellman
algiers,1,7,0.035930,bellman
algiers,1,8,0.035930,bellman
algiers,1,9,0.031520,bellman
algiers,1,10,0.928560,bellman
algiers,1,11,0.964070,bellman
algiers,1,12,0.928560,bellman
algiers,1,13,0.964070,bellman
algiers,1,14,0.928560,bellman
algiers,1,15,0.928560,bellman
algiers,1,16,0.928560,bellman
algiers,1,17,0.928560,bellman
algiers,1,18,0.928560,bellman
algiers,1,19,0.071440,bellman
algiers,1,20,0.035930,bellman
algiers,1,21,0.903360,bellman
algiers,1,22,0.965920,bellman
algiers,1,23,0.968480,bellman
algiers,1,24,0.968480,bellman
algiers,1,25,0.968480,bellman
algiers,1,26,0.965920,bellman
algiers,1,27,0.941230,bellman
algiers,1,28,0.941230,bellman
algiers,1,29,0.954860,bellman
algiers,1,30,0.941230,bellman
algiers,1,31,0.031520,bellman
algiers,1,32,0.031520,bellman
algiers,1,33,0.928560,bellman
algiers,1,34,0.928560,bellman
algiers,1,35,0.928560,bellman
algiers,1,36,0.964070,bellman
algiers,1,37,0.964070,bellman
algiers,1,38,0.968480,bellman
algiers,1,39,0.968480,bellman
almaden,0,0,0.752480,bellman
almaden,0,1,0.752480,bellman
almaden,0,2,0.841000,bellman
almaden,0,3,0.841000,bellman
almaden,0,4,0.887550,bellman
almaden,0,5,0.247520,bellman
almaden,0,6,0.247520,bellman
almaden,0,7,0.159000,bellman
almaden,0,8,0.159000,bellman
almaden,0,9,0.112450,bellman
almaden,0,10,0.752480,bellman
almaden,0,11,0.841000,bellman
almaden,0,12,0.752480,bellman
almaden,0,13,0.841000,bellman
almaden,0,14,0.752480,bellman
almaden,0,15,0.752480,bellman
almaden,0,16,0.752480,bellman
almaden,0,17,0.752480,bellman
almaden,0,18,0.752480,bellman
almaden,0,19,0.247520,bellman
almaden,0,20,0.159000,bellman
almaden,0,21,0.630000,bellman
almaden,0,22,0.863770,bellman
almaden,0,23,0.887550,bellman
almaden,0,24,0.887550,bellman
