algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.977775,0.9992899795321651,1.0,0.5,0.9606517385931572,0.995453,263
1,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.983593,0.9994259755620725,1.0,0.5,0.9477886835937509,0.994793,192
2,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.989396,0.9993475555555558,1.0,0.5,0.9666117052631575,0.994493,48
3,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.989002,0.9992197629629628,1.0,0.5,0.9648017884615382,0.993942,26
4,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.977775,0.9993631031746034,1.0,0.5,0.9487950913348979,0.994875,214
5,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.960237,0.9993027406559879,1.0,0.5,0.9663003340122203,0.995453,245
6,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.987242,0.9992596071428576,1.0,0.5,0.9634982462686563,0.995453,34
7,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.992038,0.9994957025641027,1.0,0.5,0.9675241857142857,0.99444,35
8,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.0,0.9808437839506171,1.0,0.0,0.9098717384615378,0.994143,32
9,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.989017,0.9994452314814818,1.0,0.5,0.9628532256097554,0.993367,41
10,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.960237,0.9989153863636364,1.0,0.5,0.9575860614035088,0.99483,28
11,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,0.983593,0.9992791494252878,1.0,0.5,0.954281792857143,0.993578,35
