hardware,embedding_index,gate_name,probability
algiers,0,CNOT,0.991254
algiers,0,CNOT,0.991254
algiers,0,CNOT,0.994349
algiers,0,CNOT,0.994349
algiers,0,SX,0.999671
algiers,0,RZ,1.000000
algiers,0,SX,0.999600
algiers,0,RZ,1.000000
algiers,0,SX,0.999625
algiers,0,RZ,1.000000
algiers,1,CNOT,0.991254
algiers,1,CNOT,0.991254
algiers,1,CNOT,0.991752
algiers,1,CNOT,0.991752
algiers,1,SX,0.999665
algiers,1,SX,0.999600
algiers,1,RZ,1.000000
algiers,1,SX,0.999671
algiers,1,RZ,1.000000
algiers,1,RZ,1.000000
algiers,2,CNOT,0.994349
algiers,2,CNOT,0.990290
algiers,2,SX,0.999600
algiers,2,CNOT,0.990290
algiers,2,RZ,1.000000
algiers,2,SX,0.999625
algiers,2,RZ,1.000000
algiers,2,SX,0.999685
algiers,2,CNOT,0.994349
algiers,2,RZ,1.000000
algiers,3,CNOT,0.994349
algiers,3,CNOT,0.991752
algiers,3,CNOT,0.994349
algiers,3,RZ,1.000000
algiers,3,SX,0.999625
algiers,3,CNOT,0.991752
algiers,3,RZ,1.000000
algiers,3,SX,0.999600
algiers,3,SX,0.999665
algiers,3,RZ,1.000000
algiers,4,CNOT,0.991752
algiers,4,CNOT,0.991752
algiers,4,CNOT,0.970844
algiers,4,RZ,1.000000
algiers,4,CNOT,0.970844
algiers,4,SX,0.999600
algiers,4,SX,0.999665
algiers,4,RZ,1.000000
algiers,4,SX,0.999421
algiers,4,RZ,1.000000
algiers,5,CNOT,0.990290
algiers,5,CNOT,0.990290
algiers,5,CNOT,0.991711
algiers,5,CNOT,0.991711
algiers,5,SX,0.999625
algiers,5,RZ,1.000000
algiers,5,SX,0.999685
algiers,5,SX,0.999646
algiers,5,RZ,1.000000
algiers,5,RZ,1.000000
algiers,6,CNOT,0.991711
algiers,6,CNOT,0.989678
algiers,6,CNOT,0.989678
algiers,6,SX,0.999685
algiers,6,SX,0.999780
algiers,6,SX,0.999646
algiers,6,RZ,1.000000
algiers,6,RZ,1.000000
algiers,6,CNOT,0.991711
algiers,6,RZ,1.000000
algiers,7,CNOT,0.990243
algiers,7,CNOT,0.970844
algiers,7,SX,0.999665
algiers,7,SX,0.999421
algiers,7,SX,0.999455
algiers,7,RZ,1.000000
algiers,7,CNOT,0.970844
algiers,7,RZ,1.000000
algiers,7,CNOT,0.990243
algiers,7,RZ,1.000000
algiers,8,CNOT,0.932821
algiers,8,CNOT,0.970844
algiers,8,CNOT,0.932821
algiers,8,SX,0.999421
algiers,8,RZ,1.000000
algiers,8,CNOT,0.970844
algiers,8,SX,0.999665
algiers,8,SX,0.981977
