hardware,embedding_index,horizon,method,time,result
boeblingen,0,3,bellman,0.036280,1
boeblingen,1,3,bellman,0.008120,1
boeblingen,2,3,bellman,0.006640,1
boeblingen,3,3,bellman,0.007100,1
boeblingen,4,3,bellman,0.007470,1
boeblingen,5,3,bellman,0.007810,1
boeblingen,6,3,bellman,0.007040,1
boeblingen,7,3,bellman,0.007580,1
boeblingen,8,3,bellman,0.007770,1
boeblingen,9,3,bellman,0.008270,1
boeblingen,10,3,bellman,0.008760,1
boeblingen,11,3,bellman,0.008300,1
boeblingen,12,3,bellman,0.008350,1
boeblingen,13,3,bellman,0.009450,1
boeblingen,14,3,bellman,0.008230,1
boeblingen,15,3,bellman,0.008740,1
boeblingen,16,3,bellman,0.008690,1
boeblingen,17,3,bellman,0.009050,1
boeblingen,18,3,bellman,0.009950,1
boeblingen,19,3,bellman,0.010280,1
boeblingen,20,3,bellman,0.010110,1
boeblingen,21,3,bellman,0.010550,1
boeblingen,22,3,bellman,0.009950,1
boeblingen,23,3,bellman,0.010920,1
boeblingen,24,3,bellman,0.010340,1
boeblingen,25,3,bellman,0.010960,1
boeblingen,26,3,bellman,0.011220,1
boeblingen,27,3,bellman,0.011740,1
boeblingen,28,3,bellman,0.010710,1
boeblingen,29,3,bellman,0.011660,1
boeblingen,30,3,bellman,0.011710,1
boeblingen,31,3,bellman,0.012110,1
boeblingen,32,3,bellman,0.012370,1
boeblingen,33,3,bellman,0.011760,1
boeblingen,34,3,bellman,0.011980,1
boeblingen,35,3,bellman,0.012660,1
bogota,0,3,bellman,0.006230,1
bogota,1,3,bellman,0.006750,1
bogota,2,3,bellman,0.007000,1
cambridge,0,3,bellman,0.006120,1
cambridge,1,3,bellman,0.006670,1
cambridge,2,3,bellman,0.008080,1
cambridge,3,3,bellman,0.006520,1
cambridge,4,3,bellman,0.006900,1
cambridge,5,3,bellman,0.007290,1
cambridge,6,3,bellman,0.009570,1
cambridge,7,3,bellman,0.008900,1
cambridge,8,3,bellman,0.009130,1
cambridge,9,3,bellman,0.010210,1
cambridge,10,3,bellman,0.010250,1
cambridge,11,3,bellman,0.009310,1
cambridge,12,3,bellman,0.009790,1
cambridge,13,3,bellman,0.011880,1
cambridge,14,3,bellman,0.009220,1
cambridge,15,3,bellman,0.009340,1
cambridge,16,3,bellman,0.009740,1
cambridge,17,3,bellman,0.010460,1
cambridge,18,3,bellman,0.010130,1
cambridge,19,3,bellman,0.010840,1
cambridge,20,3,bellman,0.013250,1
cambridge,21,3,bellman,0.010430,1
cambridge,22,3,bellman,0.010660,1
cambridge,23,3,bellman,0.010890,1
cambridge,24,3,bellman,0.012980,1
cambridge,25,3,bellman,0.012540,1
cambridge,26,3,bellman,0.013660,1
cambridge,27,3,bellman,0.014010,1
cambridge,28,3,bellman,0.015200,1
cambridge,29,3,bellman,0.012910,1
cambridge,30,3,bellman,0.013140,1
cambridge,31,3,bellman,0.013630,1
cambridge,32,3,bellman,0.014220,1
cambridge,33,3,bellman,0.014660,1
cambridge,34,3,bellman,0.015010,1
cambridge,35,3,bellman,0.014810,1
hanoi,0,3,bellman,0.006360,1
hanoi,1,3,bellman,0.006620,1
hanoi,2,3,bellman,0.006880,1
hanoi,3,3,bellman,0.006930,1
hanoi,4,3,bellman,0.007880,1
hanoi,5,3,bellman,0.007120,1
hanoi,6,3,bellman,0.008470,1
hanoi,7,3,bellman,0.008280,1
hanoi,8,3,bellman,0.008890,1
hanoi,9,3,bellman,0.008900,1
hanoi,10,3,bellman,0.009360,1
hanoi,11,3,bellman,0.008980,1
hanoi,12,3,bellman,0.009780,1
hanoi,13,3,bellman,0.009700,1
hanoi,14,3,bellman,0.010540,1
hanoi,15,3,bellman,0.010400,1
hanoi,16,3,bellman,0.010850,1
hanoi,17,3,bellman,0.011070,1
hanoi,18,3,bellman,0.011640,1
hanoi,19,3,bellman,0.011140,1
hanoi,20,3,bellman,0.010920,1
hanoi,21,3,bellman,0.012410,1
hanoi,22,3,bellman,0.011510,1
hanoi,23,3,bellman,0.012020,1
hanoi,24,3,bellman,0.012610,1
hanoi,25,3,bellman,0.012930,1
hanoi,26,3,bellman,0.013120,1
hanoi,27,3,bellman,0.013510,1
hanoi,28,3,bellman,0.013130,1
hanoi,29,3,bellman,0.014060,1
hanoi,30,3,bellman,0.013580,1
hanoi,31,3,bellman,0.014410,1
hanoi,32,3,bellman,0.014660,1
hanoi,33,3,bellman,0.015020,1
hanoi,34,3,bellman,0.015190,1
hanoi,35,3,bellman,0.015150,1
hanoi,36,3,bellman,0.015200,1
jakarta,0,3,bellman,0.006430,1
jakarta,1,3,bellman,0.006550,1
jakarta,2,3,bellman,0.006600,1
jakarta,3,3,bellman,0.007290,1
jakarta,4,3,bellman,0.007460,1
jakarta,5,3,bellman,0.007730,1
jakarta,6,3,bellman,0.007950,1
lagos,0,3,bellman,0.006300,1
lagos,1,3,bellman,0.006590,1
lagos,2,3,bellman,0.006710,1
lagos,3,3,bellman,0.007400,1
lagos,4,3,bellman,0.007560,1
lagos,5,3,bellman,0.007660,1
lagos,6,3,bellman,0.007960,1
ourense,0,3,bellman,0.006360,1
ourense,1,3,bellman,0.006580,1
ourense,2,3,bellman,0.006600,1
ourense,3,3,bellman,0.007020,1
toronto,0,3,bellman,0.006360,1
toronto,1,3,bellman,0.006620,1
toronto,2,3,bellman,0.006520,1
toronto,3,3,bellman,0.006730,1
toronto,4,3,bellman,0.007870,1
toronto,5,3,bellman,0.007310,1
toronto,6,3,bellman,0.008050,1
toronto,7,3,bellman,0.008480,1
toronto,8,3,bellman,0.009070,1
toronto,9,3,bellman,0.009180,1
toronto,10,3,bellman,0.009210,1
toronto,11,3,bellman,0.009190,1
toronto,12,3,bellman,0.010150,1
toronto,13,3,bellman,0.009570,1
toronto,14,3,bellman,0.010740,1
toronto,15,3,bellman,0.010430,1
toronto,16,3,bellman,0.010770,1
toronto,17,3,bellman,0.011150,1
toronto,18,3,bellman,0.011580,1
toronto,19,3,bellman,0.010740,1
toronto,20,3,bellman,0.010800,1
toronto,21,3,bellman,0.011800,1
toronto,22,3,bellman,0.011340,1
toronto,23,3,bellman,0.012220,1
toronto,24,3,bellman,0.012350,1
toronto,25,3,bellman,0.012870,1
toronto,26,3,bellman,0.013060,1
toronto,27,3,bellman,0.013290,1
toronto,28,3,bellman,0.013000,1
toronto,29,3,bellman,0.014180,1
toronto,30,3,bellman,0.013680,1
toronto,31,3,bellman,0.014310,1
toronto,32,3,bellman,0.014630,1
toronto,33,3,bellman,0.015290,1
toronto,34,3,bellman,0.015280,1
toronto,35,3,bellman,0.014920,1
toronto,36,3,bellman,0.015910,1
washington,0,3,bellman,0.006700,1
washington,1,3,bellman,0.008310,1
washington,2,3,bellman,0.011800,1
washington,3,3,bellman,0.007340,1
washington,4,3,bellman,0.007780,1
washington,5,3,bellman,0.007750,1
washington,6,3,bellman,0.009180,1
washington,7,3,bellman,0.008170,1
washington,8,3,bellman,0.009530,1
washington,9,3,bellman,0.013400,1
washington,10,3,bellman,0.008570,1
washington,11,3,bellman,0.009080,1
washington,12,3,bellman,0.011280,1
washington,13,3,bellman,0.013310,1
washington,14,3,bellman,0.010010,1
washington,15,3,bellman,0.010560,1
washington,16,3,bellman,0.010800,1
