hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,bellman,2,0,152,0.995090,0.995090,0.000000
algiers,0,bellman,3,1,154,0.995090,0.995090,0.000000
algiers,0,bellman,4,2,155,0.999820,0.999820,0.000000
algiers,0,bellman,5,3,156,0.999930,0.999820,0.000110
algiers,0,bellman,6,4,157,0.999990,0.999890,0.000100
algiers,0,bellman,7,5,158,1.000000,0.999890,0.000110
algiers,1,bellman,2,0,152,0.944180,0.944180,0.000000
algiers,1,bellman,3,1,154,0.944180,0.944180,0.000000
algiers,1,bellman,4,2,155,0.990670,0.990670,0.000000
algiers,1,bellman,5,3,156,0.991050,0.990670,0.000380
algiers,1,bellman,6,6,157,0.997970,0.997970,0.000000
algiers,1,bellman,7,5,158,0.998400,0.997970,0.000430
almaden,0,bellman,2,0,152,0.984560,0.984560,0.000000
almaden,0,bellman,3,1,154,0.984560,0.984560,0.000000
almaden,0,bellman,4,2,155,0.998880,0.998880,0.000000
almaden,0,bellman,5,3,156,0.999310,0.998880,0.000430
almaden,0,bellman,6,4,157,0.999830,0.999520,0.000310
almaden,0,bellman,7,5,158,0.999960,0.999520,0.000440
almaden,1,bellman,2,0,152,0.771980,0.771980,0.000000
almaden,1,bellman,3,1,154,0.771980,0.771980,0.000000
almaden,1,bellman,4,2,155,0.867330,0.867330,0.000000
almaden,1,bellman,5,3,156,0.868210,0.867330,0.000880
almaden,1,bellman,6,6,157,0.917470,0.917470,0.000000
almaden,1,bellman,7,5,158,0.918720,0.917470,0.001250
athens,0,bellman,2,0,152,0.989710,0.989710,-0.000000
athens,0,bellman,3,1,154,0.989710,0.989710,-0.000000
athens,0,bellman,4,2,155,0.999510,0.999510,0.000000
athens,0,bellman,5,3,156,0.999690,0.999510,0.000180
athens,0,bellman,6,4,157,0.999930,0.999800,0.000130
athens,0,bellman,7,5,158,0.999990,0.999800,0.000190
athens,1,bellman,2,0,152,0.975550,0.975550,-0.000000
athens,1,bellman,3,1,154,0.975550,0.975550,-0.000000
athens,1,bellman,4,2,155,0.998100,0.998100,-0.000000
