hardware,embedding_index,meas0_sucess,meas1_sucess
algiers,0,0.995200,0.995200
algiers,1,0.944600,0.944600
almaden,0,0.985000,0.985000
almaden,1,0.773333,0.773333
athens,0,0.989900,0.989900
athens,1,0.975700,0.975700
auckland,0,0.994500,0.994500
auckland,1,0.980800,0.980800
belem,0,0.958600,0.958600
belem,1,0.979400,0.979400
boeblingen,0,0.986800,0.986800
boeblingen,1,0.807300,0.807300
bogota,0,0.972900,0.972900
bogota,1,0.943400,0.943400
brisbane,0,0.760498,0.760498
brisbane,1,0.994385,0.994385
brooklyn,0,0.987500,0.987500
brooklyn,1,0.913200,0.913200
burlington,0,0.975500,0.975500
burlington,1,0.951500,0.951500
cairo,0,0.994900,0.994900
cairo,1,0.850800,0.850800
cambridge,0,0.983000,0.983000
cambridge,1,0.610000,0.610000
casablanca,0,0.985600,0.985600
casablanca,1,0.967400,0.967400
cusco,0,0.992676,0.992676
cusco,1,0.498047,0.498047
essex,0,0.969300,0.969300
essex,1,0.944200,0.944200
fez,0,0.998535,0.998535
fez,1,0.894043,0.894043
geneva,0,0.858600,0.858600
geneva,1,0.986200,0.986200
guadalupe,0,0.939500,0.939500
guadalupe,1,0.989400,0.989400
hanoi,0,0.994500,0.994500
hanoi,1,0.915700,0.915700
jakarta,0,0.984000,0.984000
jakarta,1,0.944500,0.944500
johannesburg,0,0.982500,0.982500
johannesburg,1,0.827300,0.827300
kawasaki,0,0.996582,0.996582
kawasaki,1,0.672607,0.672607
kolkata,0,0.953700,0.953700
kolkata,1,0.995100,0.995100
kyiv,0,0.998291,0.998291
kyiv,1,0.503174,0.503174
kyoto,0,0.995700,0.995700
kyoto,1,0.579500,0.579500
lagos,0,0.536200,0.536200
lagos,1,0.983300,0.983300
lima,0,0.983400,0.983400
lima,1,0.942500,0.942500
london,0,0.835000,0.835000
london,1,0.983333,0.983333
makarresh,0,0.997314,0.997314
makarresh,1,0.526123,0.526123
melbourne,0,0.973500,0.973500
melbourne,1,0.813400,0.813400
manhattan,0,0.596300,0.596300
manhattan,1,0.993700,0.993700
manila,0,0.903600,0.903600
manila,1,0.985600,0.985600
montreal,0,0.992900,0.992900
montreal,1,0.903300,0.903300
mumbai,0,0.987000,0.987000
mumbai,1,0.898800,0.898800
nairobi,0,0.942000,0.942000
nairobi,1,0.981700,0.981700
osaka,0,0.561300,0.561300
osaka,1,0.996400,0.996400
oslo,0,0.992300,0.992300
oslo,1,0.970600,0.970600
ourense,0,0.984800,0.984800
ourense,1,0.945400,0.945400
paris,0,0.788900,0.788900
paris,1,0.993100,0.993100
perth,0,0.956900,0.956900
perth,1,0.980500,0.980500
poughkeepsie,0,0.827000,0.827000
poughkeepsie,1,0.979000,0.979000
prague,0,0.897100,0.897100
prague,1,0.992700,0.992700
quito,0,0.978000,0.978000
quito,1,0.888900,0.888900
rochester,0,0.990000,0.990000
rochester,1,0.597500,0.597500
rome,0,0.969800,0.969800
rome,1,0.978600,0.978600
santiago,0,0.982000,0.982000
santiago,1,0.990400,0.990400
singapore,0,0.912000,0.912000
singapore,1,0.983000,0.983000
sydney,0,0.990700,0.990700
sydney,1,0.881600,0.881600
torino,0,0.994873,0.994873
torino,1,0.434814,0.434814
toronto,0,0.725500,0.725500
toronto,1,0.992200,0.992200
valencia,0,0.976600,0.976600
valencia,1,0.945800,0.945800
vigo,0,0.924900,0.924900
vigo,1,0.985400,0.985400
washington,0,0.677200,0.677200
washington,1,0.997200,0.997200
yorktown,0,0.972300,0.972300
yorktown,1,0.707700,0.707700
perfect_hardware,0,1.000000,1.000000
