algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
0,0.503174,0.9136270471698118,0.998535,0.503174,0.9136270471698118,0.998535,0.503174,0.9136270471698118,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.788621,0.9957816037735847,0.99989,100,0.0,0.0,106
1,0.503174,0.9129689134615389,0.998535,0.503174,0.9129689134615389,0.998535,0.503174,0.9129689134615389,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.788621,0.9957335961538459,0.99989,100,0.0,0.0,104
2,0.503174,0.9136270471698118,0.998535,0.503174,0.9136270471698118,0.998535,0.503174,0.9136270471698118,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.788621,0.9957816037735847,0.99989,100,0.0,0.0,106
3,0.503174,0.9129689134615389,0.998535,0.503174,0.9129689134615389,0.998535,0.503174,0.9129689134615389,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.788621,0.9957335961538459,0.99989,100,0.0,0.0,104
4,0.760498,0.9841181020408161,0.998535,0.760498,0.9841181020408161,0.998535,0.760498,0.9841181020408161,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.788621,0.9949356734693875,0.99989,100,0.0,0.0,49
5,0.503174,0.9129689134615389,0.998535,0.503174,0.9129689134615389,0.998535,0.503174,0.9129689134615389,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.788621,0.9957335961538459,0.99989,100,0.0,0.0,104
6,0.503174,0.8530294736842103,0.9834,0.503174,0.8530294736842103,0.9834,0.503174,0.8530294736842103,0.9834,0.0,0.0,0.0,0.0,0.0,0.0,0.930751,0.9965088070175439,0.999861,100,0.0,0.0,57
7,0.434814,0.46643049999999997,0.498047,0.434814,0.46643049999999997,0.498047,0.434814,0.46643049999999997,0.498047,0.0,0.0,0.0,0.0,0.0,0.0,0.973927,0.9867865,0.999646,100,0.0,0.0,2
8,0.434814,0.46643049999999997,0.498047,0.434814,0.46643049999999997,0.498047,0.434814,0.46643049999999997,0.498047,0.0,0.0,0.0,0.0,0.0,0.0,0.973927,0.9867865,0.999646,100,0.0,0.0,2
9,0.434814,0.46643049999999997,0.498047,0.434814,0.46643049999999997,0.498047,0.434814,0.46643049999999997,0.498047,0.0,0.0,0.0,0.0,0.0,0.0,0.973927,0.9867865,0.999646,100,0.0,0.0,2
