hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
algiers,0,2,0.002400,0.995130,bellman,0.000000,0
algiers,0,3,0.002400,0.995130,bellman,0.000000,1
algiers,0,4,0.002400,0.999860,bellman,0.000000,2
algiers,0,5,0.002400,0.999930,bellman,0.000000,3
algiers,0,6,0.002400,0.999990,bellman,1.000000,4
algiers,0,7,0.002400,1.000000,bellman,5.000000,5
algiers,1,2,0.004720,0.944330,bellman,0.000000,0
algiers,1,3,0.004720,0.944340,bellman,0.000000,1
algiers,1,4,0.004720,0.990830,bellman,0.000000,2
algiers,1,5,0.004720,0.991080,bellman,0.000000,3
algiers,1,6,0.004720,0.998130,bellman,1.000000,6
algiers,1,7,0.004720,0.998410,bellman,5.000000,5
almaden,0,2,0.000880,0.985010,bellman,0.000000,0
almaden,0,3,0.000880,0.985010,bellman,0.000000,1
almaden,0,4,0.000880,0.999330,bellman,0.000000,2
almaden,0,5,0.000880,0.999330,bellman,0.000000,7
almaden,0,6,0.000880,0.999970,bellman,1.000000,6
almaden,0,7,0.000880,0.999970,bellman,4.000000,8
almaden,1,2,0.002900,0.772780,bellman,0.000000,0
almaden,1,3,0.002900,0.773000,bellman,0.000000,1
almaden,1,4,0.002900,0.868190,bellman,0.000000,2
almaden,1,5,0.002900,0.868840,bellman,0.000000,3
almaden,1,6,0.002900,0.918360,bellman,1.000000,6
almaden,1,7,0.002900,0.919210,bellman,5.000000,5
athens,0,2,0.001930,0.989820,bellman,0.000000,0
athens,0,3,0.001930,0.989820,bellman,0.000000,1
athens,0,4,0.001930,0.999610,bellman,0.000000,2
athens,0,5,0.001930,0.999690,bellman,0.000000,3
athens,0,6,0.001930,0.999940,bellman,1.000000,4
athens,0,7,0.001930,0.999990,bellman,5.000000,5
athens,1,2,0.000730,0.975710,bellman,0.000000,0
athens,1,3,0.000730,0.975730,bellman,0.000000,1
athens,1,4,0.000730,0.998260,bellman,0.000000,2
athens,1,5,0.000730,0.998260,bellman,0.000000,7
athens,1,6,0.000730,0.999860,bellman,1.000000,6
athens,1,7,0.000730,0.999860,bellman,4.000000,8
auckland,0,2,0.003210,0.994450,bellman,0.000000,0
auckland,0,3,0.003210,0.994450,bellman,0.000000,1
auckland,0,4,0.003210,0.999860,bellman,0.000000,2
auckland,0,5,0.003210,0.999910,bellman,0.000000,3
auckland,0,6,0.003210,0.999980,bellman,1.000000,4
auckland,0,7,0.003210,1.000000,bellman,5.000000,5
auckland,1,2,0.004450,0.980730,bellman,0.000000,0
auckland,1,3,0.004450,0.980730,bellman,0.000000,1
auckland,1,4,0.004450,0.998830,bellman,0.000000,2
auckland,1,5,0.004450,0.998900,bellman,0.000000,3
auckland,1,6,0.004450,0.999860,bellman,1.000000,6
auckland,1,7,0.004450,0.999930,bellman,5.000000,5
belem,0,2,0.002380,0.979310,bellman,0.000000,0
belem,0,3,0.002380,0.979320,bellman,0.000000,1
belem,0,4,0.002380,0.998650,bellman,0.000000,2
belem,0,5,0.002380,0.998740,bellman,0.000000,3
belem,0,6,0.002380,0.999820,bellman,1.000000,6
belem,0,7,0.002380,0.999910,bellman,5.000000,5
belem,1,2,0.001920,0.958580,bellman,0.000000,0
belem,1,3,0.001920,0.958590,bellman,0.000000,1
belem,1,4,0.001920,0.994970,bellman,0.000000,2
belem,1,5,0.001920,0.995000,bellman,0.000000,3
belem,1,6,0.001920,0.999310,bellman,1.000000,6
belem,1,7,0.001920,0.999330,bellman,5.000000,5
boeblingen,0,2,0.003590,0.986710,bellman,0.000000,0
boeblingen,0,3,0.003590,0.986720,bellman,0.000000,1
boeblingen,0,4,0.003590,0.999390,bellman,0.000000,2
boeblingen,0,5,0.003590,0.999480,bellman,0.000000,3
boeblingen,0,6,0.003590,0.999890,bellman,1.000000,4
boeblingen,0,7,0.003590,0.999980,bellman,5.000000,5
