hardware,embedding_index,algorithm_index,probability,method
algiers,0,0,0.995090,bellman
algiers,1,0,0.944180,bellman
almaden,0,0,0.984560,bellman
almaden,1,0,0.771980,bellman
athens,0,0,0.989720,bellman
athens,1,0,0.975550,bellman
auckland,0,0,0.994370,bellman
auckland,1,0,0.980590,bellman
belem,0,0,0.979240,bellman
belem,1,0,0.958490,bellman
boeblingen,0,0,0.986560,bellman
boeblingen,1,0,0.806800,bellman
bogota,0,0,0.972800,bellman
bogota,1,0,0.942950,bellman
brisbane,0,0,0.994710,bellman
brisbane,1,0,0.664050,bellman
brooklyn,0,0,0.987360,bellman
brooklyn,1,0,0.911100,bellman
burlington,0,0,0.975200,bellman
burlington,1,0,0.950960,bellman
cairo,0,0,0.994770,bellman
cairo,1,0,0.848320,bellman
cambridge,0,0,0.982560,bellman
cambridge,1,0,0.609710,bellman
casablanca,0,0,0.985160,bellman
casablanca,1,0,0.967180,bellman
cusco,0,0,0.993310,bellman
cusco,1,0,0.590280,bellman
essex,0,0,0.968560,bellman
essex,1,0,0.943380,bellman
fez,0,0,0.996930,bellman
fez,1,0,0.906520,bellman
geneva,0,0,0.985860,bellman
geneva,1,0,0.858470,bellman
guadalupe,0,0,0.989280,bellman
guadalupe,1,0,0.939320,bellman
hanoi,0,0,0.994590,bellman
hanoi,1,0,0.919710,bellman
jakarta,0,0,0.983860,bellman
jakarta,1,0,0.944380,bellman
johannesburg,0,0,0.981570,bellman
johannesburg,1,0,0.826740,bellman
kawasaki,0,0,0.996810,bellman
kawasaki,1,0,0.646770,bellman
kolkata,0,0,0.995030,bellman
kolkata,1,0,0.952840,bellman
kyiv,0,0,0.999040,bellman
kyiv,1,0,0.718020,bellman
kyoto,0,0,0.995630,bellman
kyoto,1,0,0.579450,bellman
lagos,0,0,0.983160,bellman
lagos,1,0,0.536190,bellman
lima,0,0,0.983310,bellman
lima,1,0,0.942200,bellman
london,0,0,0.982920,bellman
london,1,0,0.834740,bellman
makarresh,0,0,0.998130,bellman
makarresh,1,0,0.000810,bellman
melbourne,0,0,0.973300,bellman
melbourne,1,0,0.812880,bellman
manhattan,0,0,0.993540,bellman
manhattan,1,0,0.596220,bellman
manila,0,0,0.985500,bellman
manila,1,0,0.903300,bellman
montreal,0,0,0.992820,bellman
montreal,1,0,0.903210,bellman
mumbai,0,0,0.986890,bellman
mumbai,1,0,0.898730,bellman
nairobi,0,0,0.981440,bellman
nairobi,1,0,0.941820,bellman
osaka,0,0,0.996330,bellman
osaka,1,0,0.558470,bellman
oslo,0,0,0.992170,bellman
oslo,1,0,0.970480,bellman
ourense,0,0,0.984650,bellman
ourense,1,0,0.945220,bellman
paris,0,0,0.992940,bellman
paris,1,0,0.788780,bellman
perth,0,0,0.980310,bellman
perth,1,0,0.956660,bellman
poughkeepsie,0,0,0.978310,bellman
poughkeepsie,1,0,0.822210,bellman
prague,0,0,0.992660,bellman
prague,1,0,0.896790,bellman
quito,0,0,0.976890,bellman
quito,1,0,0.888280,bellman
rochester,0,0,0.989210,bellman
rochester,1,0,0.596880,bellman
rome,0,0,0.978450,bellman
rome,1,0,0.969690,bellman
santiago,0,0,0.990310,bellman
santiago,1,0,0.981880,bellman
singapore,0,0,0.982680,bellman
singapore,1,0,0.911640,bellman
sydney,0,0,0.990600,bellman
sydney,1,0,0.881460,bellman
torino,0,0,0.994750,bellman
torino,1,0,0.810040,bellman
toronto,0,0,0.992070,bellman
toronto,1,0,0.725250,bellman
valencia,0,0,0.976450,bellman
valencia,1,0,0.945530,bellman
vigo,0,0,0.985210,bellman
vigo,1,0,0.924720,bellman
washington,0,0,0.997070,bellman
washington,1,0,0.677120,bellman
yorktown,0,0,0.972110,bellman
yorktown,1,0,0.707030,bellman
perfect_hardware,0,0,1.000000,bellman
algiers,0,1,0.995090,bellman
algiers,1,1,0.944180,bellman
almaden,0,1,0.984560,bellman
almaden,1,1,0.771980,bellman
athens,0,1,0.989720,bellman
athens,1,1,0.975550,bellman
auckland,0,1,0.994380,bellman
auckland,1,1,0.980590,bellman
belem,0,1,0.979240,bellman
belem,1,1,0.958490,bellman
boeblingen,0,1,0.986560,bellman
boeblingen,1,1,0.806800,bellman
bogota,0,1,0.972800,bellman
bogota,1,1,0.942950,bellman
brisbane,0,1,0.994710,bellman
brisbane,1,1,0.664050,bellman
brooklyn,0,1,0.987360,bellman
brooklyn,1,1,0.911100,bellman
burlington,0,1,0.975200,bellman
burlington,1,1,0.950960,bellman
cairo,0,1,0.994770,bellman
cairo,1,1,0.848320,bellman
cambridge,0,1,0.982560,bellman
cambridge,1,1,0.609700,bellman
casablanca,0,1,0.985160,bellman
casablanca,1,1,0.967180,bellman
cusco,0,1,0.993310,bellman
cusco,1,1,0.590280,bellman
essex,0,1,0.968560,bellman
essex,1,1,0.943380,bellman
fez,0,1,0.996930,bellman
fez,1,1,0.906520,bellman
geneva,0,1,0.985860,bellman
geneva,1,1,0.858470,bellman
guadalupe,0,1,0.989280,bellman
guadalupe,1,1,0.939320,bellman
hanoi,0,1,0.994590,bellman
hanoi,1,1,0.919710,bellman
jakarta,0,1,0.983860,bellman
jakarta,1,1,0.944380,bellman
johannesburg,0,1,0.981570,bellman
johannesburg,1,1,0.826740,bellman
kawasaki,0,1,0.996810,bellman
kawasaki,1,1,0.646760,bellman
kolkata,0,1,0.995030,bellman
kolkata,1,1,0.952840,bellman
kyiv,0,1,0.999040,bellman
kyiv,1,1,0.718020,bellman
kyoto,0,1,0.995630,bellman
kyoto,1,1,0.579450,bellman
lagos,0,1,0.983160,bellman
lagos,1,1,0.536190,bellman
lima,0,1,0.983310,bellman
lima,1,1,0.942200,bellman
london,0,1,0.982920,bellman
london,1,1,0.834740,bellman
makarresh,0,1,0.998130,bellman
makarresh,1,1,0.000810,bellman
melbourne,0,1,0.973300,bellman
melbourne,1,1,0.812880,bellman
manhattan,0,1,0.993540,bellman
manhattan,1,1,0.596220,bellman
manila,0,1,0.985500,bellman
manila,1,1,0.903300,bellman
montreal,0,1,0.992820,bellman
montreal,1,1,0.903210,bellman
mumbai,0,1,0.986890,bellman
mumbai,1,1,0.898730,bellman
nairobi,0,1,0.981450,bellman
nairobi,1,1,0.941820,bellman
osaka,0,1,0.996330,bellman
osaka,1,1,0.558470,bellman
oslo,0,1,0.992170,bellman
oslo,1,1,0.970480,bellman
ourense,0,1,0.984660,bellman
ourense,1,1,0.945220,bellman
paris,0,1,0.992940,bellman
paris,1,1,0.788780,bellman
perth,0,1,0.980310,bellman
perth,1,1,0.956660,bellman
poughkeepsie,0,1,0.978310,bellman
poughkeepsie,1,1,0.822210,bellman
prague,0,1,0.992670,bellman
prague,1,1,0.896790,bellman
quito,0,1,0.976890,bellman
quito,1,1,0.888280,bellman
rochester,0,1,0.989200,bellman
