------ Experiment.bell_state_reach ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  45
count embeddings (convex):  136
total diff. algorithms (convex):  7
accuracy perfect hardware (convex): 0.5, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  1
2 :  1
3 :  6
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 0 
--> horizon 3: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 3
hardware=lagos-0, diff=0.24732, prob=0.53325, baseline_prob=0.28593, algorithm=3, method=convex, horizon=3,
hardware=lagos-2, diff=0.24388, prob=0.52584, baseline_prob=0.28196, algorithm=3, method=convex, horizon=3,
hardware=manhattan-0, diff=0.23953, prob=0.59334, baseline_prob=0.35381, algorithm=3, method=convex, horizon=3,
hardware=rochester-1, diff=0.23743, prob=0.58988, baseline_prob=0.35245, algorithm=3, method=convex, horizon=3,
hardware=cambridge-1, diff=0.23569, prob=0.60433, baseline_prob=0.36864, algorithm=3, method=convex, horizon=3,
hardware=washington-0, diff=0.21783, prob=0.67483, baseline_prob=0.457, algorithm=3, method=convex, horizon=3,
hardware=toronto-0, diff=0.19839, prob=0.72274, baseline_prob=0.52435, algorithm=3, method=convex, horizon=3,
hardware=toronto-2, diff=0.18216, prob=0.66361, baseline_prob=0.48145, algorithm=3, method=convex, horizon=3,
hardware=almaden-1, diff=0.174, prob=0.76763, baseline_prob=0.59363, algorithm=3, method=convex, horizon=3,
hardware=almaden-3, diff=0.16655, prob=0.73477, baseline_prob=0.56822, algorithm=3, method=convex, horizon=3,
hardware=paris-0, diff=0.16569, prob=0.7849, baseline_prob=0.61921, algorithm=3, method=convex, horizon=3,
hardware=paris-2, diff=0.15929, prob=0.75459, baseline_prob=0.5953, algorithm=3, method=convex, horizon=3,
hardware=boeblingen-1, diff=0.15494, prob=0.80402, baseline_prob=0.64908, algorithm=3, method=convex, horizon=3,
hardware=boeblingen-3, diff=0.1527, prob=0.79239, baseline_prob=0.63969, algorithm=3, method=convex, horizon=3,
hardware=melbourne-1, diff=0.15029, prob=0.80541, baseline_prob=0.65512, algorithm=3, method=convex, horizon=3,
hardware=melbourne-3, diff=0.14616, prob=0.78325, baseline_prob=0.63709, algorithm=3, method=convex, horizon=3,
hardware=poughkeepsie-0, diff=0.14191, prob=0.82027, baseline_prob=0.67836, algorithm=3, method=convex, horizon=3,
hardware=johannesburg-1, diff=0.14159, prob=0.81988, baseline_prob=0.67829, algorithm=3, method=convex, horizon=3,
hardware=johannesburg-3, diff=0.13727, prob=0.79485, baseline_prob=0.65758, algorithm=3, method=convex, horizon=3,
hardware=london-1, diff=0.13584, prob=0.82329, baseline_prob=0.68745, algorithm=3, method=convex, horizon=3,
hardware=manhattan-2, diff=0.1309, prob=0.29683, baseline_prob=0.16593, algorithm=11, method=convex, horizon=3,
hardware=rochester-3, diff=0.13082, prob=0.29742, baseline_prob=0.1666, algorithm=11, method=convex, horizon=3,
hardware=cambridge-3, diff=0.13, prob=0.30365, baseline_prob=0.17365, algorithm=11, method=convex, horizon=3,
hardware=cairo-1, diff=0.12657, prob=0.84835, baseline_prob=0.72178, algorithm=3, method=convex, horizon=3,
hardware=washington-2, diff=0.12309, prob=0.3371, baseline_prob=0.21401, algorithm=6, method=convex, horizon=3,
hardware=geneva-0, diff=0.12111, prob=0.85652, baseline_prob=0.73541, algorithm=3, method=convex, horizon=3,
hardware=sydney-1, diff=0.10399, prob=0.87832, baseline_prob=0.77433, algorithm=3, method=convex, horizon=3,
hardware=quito-0, diff=0.09789, prob=0.88104, baseline_prob=0.78315, algorithm=3, method=convex, horizon=3,
hardware=quito-1, diff=0.09504, prob=0.85545, baseline_prob=0.76041, algorithm=3, method=convex, horizon=3,
hardware=sydney-3, diff=0.0938, prob=0.79222, baseline_prob=0.69842, algorithm=3, method=convex, horizon=3,
hardware=mumbai-1, diff=0.09068, prob=0.89601, baseline_prob=0.80533, algorithm=3, method=convex, horizon=3,
hardware=mumbai-3, diff=0.08889, prob=0.87831, baseline_prob=0.78942, algorithm=3, method=convex, horizon=3,
hardware=montreal-1, diff=0.08703, prob=0.89994, baseline_prob=0.81291, algorithm=3, method=convex, horizon=3,
hardware=manila-0, diff=0.08678, prob=0.90017, baseline_prob=0.81339, algorithm=3, method=convex, horizon=3,
