------ Experiment.reset ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  116
accuracy perfect hardware (convex): 0.5, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  19
2 :  25
3 :  72
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 80 
--> horizon 3: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=brisbane-0, diff=0.07046, prob=0.5, baseline_prob=0.42954, algorithm=46, method=convex, horizon=1,
hardware=osaka-0, diff=0.02308, prob=0.5, baseline_prob=0.47692, algorithm=106, method=convex, horizon=1,
hardware=torino-1, diff=0.00869, prob=0.5, baseline_prob=0.49131, algorithm=127, method=convex, horizon=1,
hardware=poughkeepsie-0, diff=0.00732, prob=0.5, baseline_prob=0.49268, algorithm=112, method=convex, horizon=1,
hardware=makarresh-1, diff=0.00623, prob=0.5, baseline_prob=0.49377, algorithm=99, method=convex, horizon=1,
hardware=cairo-1, diff=0.00353, prob=0.5, baseline_prob=0.49647, algorithm=58, method=convex, horizon=1,
hardware=rochester-1, diff=0.0032, prob=0.5, baseline_prob=0.4968, algorithm=121, method=convex, horizon=1,
hardware=brooklyn-1, diff=0.00255, prob=0.5, baseline_prob=0.49745, algorithm=29, method=convex, horizon=1,
hardware=almaden-1, diff=0.00247, prob=0.5, baseline_prob=0.49753, algorithm=29, method=convex, horizon=1,
hardware=yorktown-1, diff=0.00161, prob=0.5, baseline_prob=0.49839, algorithm=132, method=convex, horizon=1,
hardware=cambridge-1, diff=0.00134, prob=0.5, baseline_prob=0.49866, algorithm=62, method=convex, horizon=1,
hardware=quito-0, diff=0.00116, prob=0.5, baseline_prob=0.49884, algorithm=117, method=convex, horizon=1,
hardware=johannesburg-0, diff=0.00097, prob=0.5, baseline_prob=0.49903, algorithm=71, method=convex, horizon=1,
hardware=kolkata-0, diff=0.00095, prob=0.5, baseline_prob=0.49905, algorithm=71, method=convex, horizon=1,
hardware=essex-1, diff=0.00093, prob=0.5, baseline_prob=0.49907, algorithm=71, method=convex, horizon=1,
hardware=johannesburg-1, diff=0.00085, prob=0.5, baseline_prob=0.49915, algorithm=41, method=convex, horizon=1,
hardware=melbourne-1, diff=0.00083, prob=0.5, baseline_prob=0.49917, algorithm=41, method=convex, horizon=1,
hardware=boeblingen-1, diff=0.00082, prob=0.5, baseline_prob=0.49919, algorithm=41, method=convex, horizon=1,
hardware=rochester-0, diff=0.00081, prob=0.5, baseline_prob=0.49919, algorithm=41, method=convex, horizon=1,
hardware=quito-1, diff=0.0008, prob=0.5, baseline_prob=0.4992, algorithm=41, method=convex, horizon=1,
hardware=essex-0, diff=0.00079, prob=0.5, baseline_prob=0.49921, algorithm=41, method=convex, horizon=1,
hardware=poughkeepsie-1, diff=0.00072, prob=0.5, baseline_prob=0.49928, algorithm=41, method=convex, horizon=1,
hardware=burlington-1, diff=0.00059, prob=0.5, baseline_prob=0.49941, algorithm=54, method=convex, horizon=1,
hardware=toronto-0, diff=0.00056, prob=0.5, baseline_prob=0.49944, algorithm=25, method=convex, horizon=1,
hardware=bogota-1, diff=0.00051, prob=0.5, baseline_prob=0.49949, algorithm=25, method=convex, horizon=1,
hardware=algiers-1, diff=0.00047, prob=0.5, baseline_prob=0.49953, algorithm=25, method=convex, horizon=1,
hardware=almaden-0, diff=0.00045, prob=0.5, baseline_prob=0.49955, algorithm=25, method=convex, horizon=1,
hardware=cambridge-0, diff=0.00045, prob=0.5, baseline_prob=0.49955, algorithm=25, method=convex, horizon=1,
hardware=casablanca-0, diff=0.00045, prob=0.5, baseline_prob=0.49955, algorithm=25, method=convex, horizon=1,
hardware=singapore-0, diff=0.00044, prob=0.5, baseline_prob=0.49956, algorithm=25, method=convex, horizon=1,
hardware=london-1, diff=0.00043, prob=0.5, baseline_prob=0.49958, algorithm=25, method=convex, horizon=1,
hardware=manhattan-0, diff=0.00041, prob=0.5, baseline_prob=0.49959, algorithm=25, method=convex, horizon=1,
hardware=prague-0, diff=0.00039, prob=0.5, baseline_prob=0.49961, algorithm=25, method=convex, horizon=1,
hardware=london-0, diff=0.00038, prob=0.5, baseline_prob=0.49962, algorithm=25, method=convex, horizon=1,
hardware=manila-0, diff=0.00037, prob=0.5, baseline_prob=0.49963, algorithm=25, method=convex, horizon=1,
hardware=geneva-1, diff=0.00035, prob=0.5, baseline_prob=0.49965, algorithm=76, method=convex, horizon=1,
hardware=kyoto-1, diff=0.00034, prob=0.5, baseline_prob=0.49966, algorithm=76, method=convex, horizon=1,
hardware=lima-1, diff=0.00034, prob=0.5, baseline_prob=0.49966, algorithm=76, method=convex, horizon=1,
hardware=singapore-1, diff=0.00033, prob=0.5, baseline_prob=0.49967, algorithm=76, method=convex, horizon=1,
hardware=burlington-0, diff=0.00031, prob=0.5, baseline_prob=0.49969, algorithm=35, method=convex, horizon=1,
hardware=valencia-1, diff=0.0003, prob=0.5, baseline_prob=0.4997, algorithm=35, method=convex, horizon=1,
hardware=makarresh-0, diff=0.00029, prob=0.5, baseline_prob=0.49971, algorithm=35, method=convex, horizon=1,
hardware=nairobi-1, diff=0.00027, prob=0.5, baseline_prob=0.49973, algorithm=35, method=convex, horizon=1,
hardware=perth-0, diff=0.00027, prob=0.5, baseline_prob=0.49973, algorithm=35, method=convex, horizon=1,
