hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
cairo,0,1,10.613210,0.499750,convex,0.000000,0,0.000000
cairo,0,2,10.613210,0.983150,convex,2.000000,1,0.000000
cairo,1,1,12.400460,0.499750,convex,0.000000,0,0.000000
cairo,1,2,12.400460,0.858750,convex,4.000000,2,0.000000
cairo,2,1,12.919850,0.499750,convex,0.000000,0,0.000000
cairo,2,2,12.919850,0.983150,convex,2.000000,1,0.000000
casablanca,0,1,9.018720,0.499750,convex,0.000000,0,0.000000
casablanca,0,2,9.018720,0.982160,convex,2.000000,1,0.000000
casablanca,1,1,9.049610,0.499750,convex,0.000000,0,0.000000
casablanca,1,2,9.049610,0.978200,convex,2.000000,1,0.000000
casablanca,2,1,8.545140,0.499750,convex,0.000000,0,0.000000
casablanca,2,2,8.545140,0.978200,convex,2.000000,1,0.000000
johannesburg,0,1,7.890950,0.500000,convex,0.000000,3,0.000000
johannesburg,0,2,7.890950,0.914490,convex,3.000000,4,0.000000
johannesburg,1,1,9.056230,0.500500,convex,0.000000,5,0.000000
johannesburg,1,2,9.056230,0.958390,convex,4.000000,6,0.000000
johannesburg,2,1,9.728660,0.499750,convex,0.000000,0,0.000000
johannesburg,2,2,9.728660,0.914420,convex,3.000000,7,0.000000
johannesburg,3,1,9.570380,0.500250,convex,0.000000,8,0.000000
johannesburg,3,2,9.570380,0.958370,convex,4.000000,9,0.000000
melbourne,0,1,8.082580,0.500250,convex,0.000000,0,0.000000
melbourne,0,2,8.082580,0.955960,convex,3.000000,10,0.000000
melbourne,1,1,9.850200,0.500500,convex,0.000000,5,0.000000
melbourne,1,2,9.850200,0.948850,convex,5.000000,11,0.000000
melbourne,2,1,9.416240,0.500000,convex,0.000000,5,0.000000
melbourne,2,2,9.416240,0.955930,convex,3.000000,12,0.000000
melbourne,3,1,10.440270,0.500250,convex,0.000000,8,0.000000
melbourne,3,2,10.440270,0.948820,convex,5.000000,13,0.000000
manila,0,1,8.560330,0.500000,convex,0.000000,5,0.000000
manila,0,2,8.560330,0.976210,convex,3.000000,14,0.000000
manila,1,1,8.724180,0.500000,convex,0.000000,5,0.000000
manila,1,2,8.724180,0.980180,convex,2.000000,14,0.000000
manila,2,1,8.652040,0.500000,convex,0.000000,5,0.000000
manila,2,2,8.652040,0.980180,convex,3.000000,14,0.000000
montreal,0,1,11.526770,0.500000,convex,0.000000,5,0.000000
montreal,0,2,11.526770,0.986080,convex,3.000000,15,0.000000
montreal,1,1,11.374900,0.500000,convex,0.000000,5,0.000000
montreal,1,2,11.374900,0.941410,convex,3.000000,16,0.000000
montreal,2,1,14.175510,0.500000,convex,0.000000,5,0.000000
montreal,2,2,14.175510,0.986080,convex,3.000000,15,0.000000
montreal,3,1,14.157540,0.500000,convex,0.000000,5,0.000000
montreal,3,2,14.157540,0.941410,convex,3.000000,16,0.000000
rochester,0,1,10.706960,0.499750,convex,0.000000,0,0.000000
rochester,0,2,10.706960,0.921280,convex,4.000000,17,0.000000
rochester,1,1,14.489810,0.500250,convex,0.000000,8,0.000000
rochester,1,2,14.489810,0.734790,convex,7.000000,18,0.000000
rochester,2,1,12.903880,0.500000,convex,0.000000,3,0.000000
rochester,2,2,12.903880,0.921330,convex,4.000000,19,0.000000
rochester,3,1,14.919010,0.500500,convex,0.000000,5,0.000000
rochester,3,2,14.919010,0.734800,convex,7.000000,20,0.000000
rome,0,1,8.708360,0.499750,convex,0.000000,0,0.000000
rome,0,2,8.708360,0.967520,convex,3.000000,21,0.000000
rome,1,1,8.618300,0.500000,convex,0.000000,5,0.000000
rome,1,2,8.618300,0.965480,convex,3.000000,22,0.000000
rome,2,1,8.288040,0.499750,convex,0.000000,0,0.000000
rome,2,2,8.288040,0.967520,convex,3.000000,21,0.000000
vigo,0,1,8.651880,0.500250,convex,0.000000,0,0.000000
vigo,0,2,8.651880,0.983110,convex,3.000000,23,0.000000
vigo,1,1,8.652510,0.500250,convex,0.000000,0,0.000000
vigo,1,2,8.652510,0.975210,convex,4.000000,24,0.000000
