hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
algiers,0,1,6.887440,0.500500,bellman,0.000000,0,0.000000
algiers,0,2,6.887440,1.000500,bellman,1.000000,1,0.000000
algiers,0,3,6.887440,1.001500,bellman,9.000000,2,0.000000
algiers,1,1,8.761920,0.500500,bellman,0.000000,0,0.000000
algiers,1,2,8.761920,1.002500,bellman,1.000000,1,0.000000
algiers,1,3,8.761920,1.004510,bellman,11.000000,3,0.000000
algiers,2,1,11.888850,0.500500,bellman,0.000000,0,0.000000
algiers,2,2,11.888850,1.000500,bellman,1.000000,1,0.000000
algiers,2,3,11.888850,1.001500,bellman,9.000000,2,0.000000
algiers,3,1,11.140110,0.500500,bellman,0.000000,0,0.000000
algiers,3,2,11.140110,1.002500,bellman,1.000000,1,0.000000
algiers,3,3,11.140110,1.004510,bellman,11.000000,3,0.000000
almaden,0,1,6.909410,0.500000,bellman,0.000000,4,0.000000
almaden,0,2,6.909410,1.000000,bellman,1.000000,1,0.000000
almaden,0,3,6.909410,1.000000,bellman,9.000000,3,0.000000
almaden,1,1,6.344760,0.500000,bellman,0.000000,4,0.000000
almaden,1,2,6.344760,1.000500,bellman,2.000000,1,0.000000
almaden,1,3,6.344760,1.000500,bellman,14.000000,3,0.000000
almaden,2,1,6.995000,0.500000,bellman,0.000000,4,0.000000
almaden,2,2,6.995000,1.000000,bellman,1.000000,1,0.000000
almaden,2,3,6.995000,1.000000,bellman,9.000000,3,0.000000
almaden,3,1,6.519870,0.500000,bellman,0.000000,4,0.000000
almaden,3,2,6.519870,1.000500,bellman,2.000000,1,0.000000
almaden,3,3,6.519870,1.000500,bellman,14.000000,3,0.000000
athens,0,1,6.733390,0.500500,bellman,0.000000,0,0.000000
athens,0,2,6.733390,1.002000,bellman,1.000000,1,0.000000
athens,0,3,6.733390,1.004010,bellman,9.000000,3,0.000000
athens,1,1,6.585900,0.500000,bellman,0.000000,4,0.000000
athens,1,2,6.585900,0.997000,bellman,1.000000,1,0.000000
athens,1,3,6.585900,0.997000,bellman,9.000000,5,0.000000
auckland,0,1,8.520670,0.500500,bellman,0.000000,4,0.000000
auckland,0,2,8.520670,1.002000,bellman,1.000000,1,0.000000
auckland,0,3,8.520670,1.004010,bellman,9.000000,3,0.000000
auckland,1,1,10.697220,0.500500,bellman,0.000000,4,0.000000
auckland,1,2,10.697220,1.000000,bellman,1.000000,1,0.000000
auckland,1,3,10.697220,1.001000,bellman,9.000000,5,0.000000
