hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
belem,0,6,4.754050,0.503010,bellman,256.000000,0,0.000000
belem,1,6,4.768170,0.502000,bellman,256.000000,1,0.000000
belem,2,6,4.505640,0.503010,bellman,290.000000,1,0.000000
belem,3,6,4.464330,0.503010,bellman,290.000000,1,0.000000
brooklyn,0,6,8.962500,0.501000,bellman,252.000000,1,0.000000
brooklyn,1,6,8.841730,0.502000,bellman,252.000000,1,0.000000
brooklyn,2,6,11.058580,0.509070,bellman,295.000000,2,0.000000
brooklyn,3,6,11.074970,0.503010,bellman,295.000000,3,0.000000
guadalupe,0,6,6.845660,0.500000,bellman,251.000000,4,0.000000
guadalupe,1,6,6.879520,0.500000,bellman,252.000000,4,0.000000
guadalupe,2,6,6.086710,0.509070,bellman,252.000000,2,0.000000
guadalupe,3,6,6.103270,0.509070,bellman,251.000000,2,0.000000
