hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
burlington,0,3,0.408960,0.947590,bellman,1.000000,0,0.000000
burlington,0,4,0.408960,0.947590,bellman,5.000000,1,0.000000
burlington,0,5,0.408960,0.975320,bellman,22.000000,2,0.000000
burlington,0,6,0.408960,0.975320,bellman,93.000000,3,0.000000
burlington,0,7,0.408960,0.977900,bellman,391.000000,4,0.000000
burlington,1,3,0.382690,0.932280,bellman,1.000000,0,0.000000
burlington,1,4,0.382690,0.932280,bellman,5.000000,5,0.000000
burlington,1,5,0.382690,0.972180,bellman,22.000000,2,0.000000
burlington,1,6,0.382690,0.972180,bellman,94.000000,6,0.000000
burlington,1,7,0.382690,0.977710,bellman,389.000000,4,0.000000
burlington,2,3,0.381260,0.922070,bellman,1.000000,0,0.000000
burlington,2,4,0.381260,0.922070,bellman,5.000000,5,0.000000
burlington,2,5,0.381260,0.961030,bellman,21.000000,2,0.000000
burlington,2,6,0.381260,0.961030,bellman,92.000000,6,0.000000
burlington,2,7,0.381260,0.966420,bellman,381.000000,4,0.000000
poughkeepsie,0,3,0.725310,0.955340,bellman,1.000000,0,0.000000
poughkeepsie,0,4,0.725310,0.955340,bellman,5.000000,7,0.000000
poughkeepsie,0,5,0.725310,0.974070,bellman,22.000000,2,0.000000
poughkeepsie,0,6,0.725310,0.974070,bellman,92.000000,8,0.000000
poughkeepsie,0,7,0.725310,0.975220,bellman,380.000000,4,0.000000
poughkeepsie,1,3,0.559700,0.770480,bellman,1.000000,0,0.000000
poughkeepsie,1,4,0.559700,0.770480,bellman,5.000000,1,0.000000
poughkeepsie,1,5,0.559700,0.847870,bellman,21.000000,2,0.000000
poughkeepsie,1,6,0.559700,0.847870,bellman,91.000000,3,0.000000
poughkeepsie,1,7,0.559700,0.881090,bellman,380.000000,4,0.000000
poughkeepsie,2,3,0.519790,0.764260,bellman,1.000000,0,0.000000
poughkeepsie,2,4,0.519790,0.764260,bellman,4.000000,5,0.000000
poughkeepsie,2,5,0.519790,0.839870,bellman,19.000000,2,0.000000
poughkeepsie,2,6,0.519790,0.839880,bellman,88.000000,6,0.000000
poughkeepsie,2,7,0.519790,0.872330,bellman,396.000000,4,0.000000
