hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
cairo,0,3,3.685090,0.985070,bellman,0.000000,0,0.000000
cairo,1,3,5.591000,0.965560,bellman,0.000000,1,0.000000
cairo,2,3,6.476240,0.959450,bellman,0.000000,2,0.000000
casablanca,0,3,4.388860,0.962810,bellman,1.000000,0,0.000000
casablanca,1,3,4.590950,0.972790,bellman,1.000000,0,0.000000
casablanca,2,3,4.804810,0.974850,bellman,1.000000,3,0.000000
casablanca,3,3,5.144160,0.978510,bellman,1.000000,4,0.000000
casablanca,4,3,5.333560,0.972070,bellman,1.000000,5,0.000000
casablanca,5,3,5.616280,0.977120,bellman,1.000000,0,0.000000
casablanca,6,3,5.568330,0.976450,bellman,1.000000,6,0.000000
johannesburg,0,3,4.075450,0.958020,bellman,1.000000,4,0.000000
johannesburg,1,3,4.437110,0.965200,bellman,1.000000,1,0.000000
johannesburg,2,3,4.919560,0.952520,bellman,1.000000,4,0.000000
johannesburg,3,3,5.498850,0.945950,bellman,1.000000,4,0.000000
johannesburg,4,3,4.380120,0.933080,bellman,1.000000,4,0.000000
johannesburg,5,3,4.602160,0.930000,bellman,1.000000,0,0.000000
johannesburg,6,3,5.416970,0.947320,bellman,1.000000,6,0.000000
johannesburg,7,3,5.737480,0.947270,bellman,1.000000,7,0.000000
johannesburg,8,3,6.503530,0.936710,bellman,1.000000,4,0.000000
johannesburg,9,3,5.362350,0.929350,bellman,1.000000,8,0.000000
johannesburg,10,3,5.733990,0.938540,bellman,1.000000,1,0.000000
johannesburg,11,3,6.213410,0.946330,bellman,1.000000,0,0.000000
johannesburg,12,3,6.820090,0.933520,bellman,1.000000,0,0.000000
johannesburg,13,3,5.485590,0.936710,bellman,1.000000,6,0.000000
johannesburg,14,3,6.138360,0.928120,bellman,1.000000,6,0.000000
johannesburg,15,3,5.860010,0.949310,bellman,1.000000,8,0.000000
johannesburg,16,3,6.113260,0.951710,bellman,1.000000,9,0.000000
johannesburg,17,3,6.502780,0.942900,bellman,1.000000,10,0.000000
johannesburg,18,3,6.605980,0.954010,bellman,1.000000,6,0.000000
johannesburg,19,3,6.492660,0.927600,bellman,1.000000,4,0.000000
johannesburg,20,3,6.862000,0.897510,bellman,1.000000,10,0.000000
johannesburg,21,3,7.671400,0.936920,bellman,1.000000,0,0.000000
johannesburg,22,3,6.360370,0.951990,bellman,1.000000,4,0.000000
johannesburg,23,3,6.802280,0.948870,bellman,1.000000,9,0.000000
johannesburg,24,3,7.354110,0.944620,bellman,1.000000,6,0.000000
johannesburg,25,3,6.650820,0.953940,bellman,1.000000,0,0.000000
johannesburg,26,3,6.830680,0.922400,bellman,1.000000,4,0.000000
johannesburg,27,3,7.864810,0.918430,bellman,1.000000,0,0.000000
johannesburg,28,3,8.050590,0.947790,bellman,1.000000,7,0.000000
johannesburg,29,3,7.818300,0.950790,bellman,1.000000,8,0.000000
johannesburg,30,3,7.958430,0.928860,bellman,1.000000,8,0.000000
johannesburg,31,3,8.178200,0.922980,bellman,1.000000,6,0.000000
melbourne,0,3,4.460430,0.964340,bellman,1.000000,0,0.000000
melbourne,1,3,6.289090,0.935580,bellman,1.000000,4,0.000000
melbourne,2,3,6.519970,0.953790,bellman,1.000000,1,0.000000
melbourne,3,3,7.498890,0.927080,bellman,1.000000,7,0.000000
melbourne,4,3,4.786230,0.953680,bellman,1.000000,4,0.000000
melbourne,5,3,6.450470,0.927690,bellman,1.000000,4,0.000000
melbourne,6,3,6.622750,0.939680,bellman,1.000000,1,0.000000
melbourne,7,3,7.462110,0.927100,bellman,1.000000,5,0.000000
melbourne,8,3,7.700020,0.907390,bellman,1.000000,0,0.000000
melbourne,9,3,5.160690,0.935010,bellman,1.000000,8,0.000000
melbourne,10,3,6.416970,0.932650,bellman,1.000000,8,0.000000
melbourne,11,3,6.524600,0.912040,bellman,1.000000,1,0.000000
melbourne,12,3,7.132670,0.924280,bellman,1.000000,5,0.000000
melbourne,13,3,7.430000,0.915300,bellman,1.000000,0,0.000000
melbourne,14,3,5.410280,0.936770,bellman,1.000000,6,0.000000
melbourne,15,3,6.275750,0.919550,bellman,1.000000,4,0.000000
melbourne,16,3,6.342200,0.929950,bellman,1.000000,9,0.000000
melbourne,17,3,6.867030,0.941630,bellman,1.000000,11,0.000000
melbourne,18,3,7.071990,0.945220,bellman,1.000000,6,0.000000
melbourne,19,3,5.663650,0.916750,bellman,1.000000,8,0.000000
melbourne,20,3,6.151120,0.931660,bellman,1.000000,0,0.000000
melbourne,21,3,6.341360,0.923950,bellman,1.000000,1,0.000000
melbourne,22,3,6.581040,0.922290,bellman,1.000000,5,0.000000
melbourne,23,3,6.793060,0.931080,bellman,1.000000,0,0.000000
melbourne,24,3,6.022270,0.913360,bellman,1.000000,6,0.000000
melbourne,25,3,6.352270,0.908070,bellman,1.000000,3,0.000000
melbourne,26,3,6.406620,0.932720,bellman,1.000000,10,0.000000
melbourne,27,3,6.605060,0.930000,bellman,1.000000,8,0.000000
melbourne,28,3,6.101040,0.937180,bellman,1.000000,11,0.000000
melbourne,29,3,6.418660,0.938860,bellman,1.000000,6,0.000000
melbourne,30,3,6.448700,0.941380,bellman,1.000000,6,0.000000
melbourne,31,3,6.689840,0.940060,bellman,1.000000,8,0.000000
melbourne,32,3,7.060740,0.946180,bellman,1.000000,6,0.000000
melbourne,33,3,7.209890,0.958020,bellman,1.000000,6,0.000000
melbourne,34,3,7.547560,0.952870,bellman,1.000000,4,0.000000
melbourne,35,3,7.765990,0.925790,bellman,1.000000,8,0.000000
manila,0,3,4.416730,0.975540,bellman,1.000000,4,0.000000
manila,1,3,4.799000,0.972650,bellman,1.000000,0,0.000000
manila,2,3,5.070070,0.981880,bellman,1.000000,6,0.000000
montreal,0,3,4.431760,0.980660,bellman,1.000000,8,0.000000
montreal,1,3,4.898700,0.982860,bellman,1.000000,8,0.000000
montreal,2,3,4.696280,0.979420,bellman,1.000000,6,0.000000
montreal,3,3,4.980120,0.978560,bellman,1.000000,3,0.000000
