hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
fez,0,8,0.001110,1.000000,bellman,27.000000,0,0.000000
fez,0,9,0.001110,1.000000,bellman,82.000000,1,0.000000
fez,1,8,0.004290,0.996470,bellman,27.000000,2,0.000000
fez,1,9,0.004290,0.996600,bellman,83.000000,3,0.000000
london,0,8,0.001070,0.982610,bellman,27.000000,2,0.000000
london,0,9,0.001070,0.982900,bellman,83.000000,4,0.000000
london,1,8,0.001070,0.999980,bellman,27.000000,5,0.000000
london,1,9,0.001070,1.000000,bellman,83.000000,3,0.000000
mumbai,0,8,0.001190,0.999990,bellman,27.000000,5,0.000000
mumbai,0,9,0.001190,1.000000,bellman,83.000000,3,0.000000
mumbai,1,8,0.001400,0.997060,bellman,27.000000,2,0.000000
mumbai,1,9,0.001400,0.997140,bellman,82.000000,3,0.000000
