hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
melbourne,0,2,0.001520,0.973450,bellman,0.000000,0,0.000000
melbourne,0,3,0.001520,0.973460,bellman,0.000000,1,0.000000
melbourne,0,4,0.001520,0.997870,bellman,0.000000,2,0.000000
melbourne,0,5,0.001520,0.997930,bellman,0.000000,3,0.000000
melbourne,1,2,0.001910,0.813390,bellman,0.000000,0,0.000000
melbourne,1,3,0.001910,0.813550,bellman,0.000000,1,0.000000
melbourne,1,4,0.001910,0.908360,bellman,0.000000,2,0.000000
melbourne,1,5,0.001910,0.908580,bellman,0.000000,3,0.000000
manila,0,2,0.000790,0.985600,bellman,0.000000,0,0.000000
manila,0,3,0.000790,0.985600,bellman,0.000000,1,0.000000
manila,0,4,0.000790,0.999380,bellman,0.000000,2,0.000000
manila,0,5,0.000790,0.999380,bellman,0.000000,4,0.000000
manila,1,2,0.001010,0.903510,bellman,0.000000,0,0.000000
manila,1,3,0.001010,0.903520,bellman,0.000000,1,0.000000
manila,1,4,0.001010,0.973800,bellman,0.000000,2,0.000000
manila,1,5,0.001010,0.973880,bellman,0.000000,3,0.000000
montreal,0,2,0.001040,0.992900,bellman,0.000000,0,0.000000
montreal,0,3,0.001040,0.992900,bellman,0.000000,1,0.000000
montreal,0,4,0.001040,0.999850,bellman,0.000000,2,0.000000
montreal,0,5,0.001040,0.999850,bellman,0.000000,5,0.000000
montreal,1,2,0.001250,0.903310,bellman,0.000000,0,0.000000
montreal,1,3,0.001250,0.903320,bellman,0.000000,1,0.000000
montreal,1,4,0.001250,0.973760,bellman,0.000000,2,0.000000
montreal,1,5,0.001250,0.973760,bellman,0.000000,5,0.000000
rochester,0,2,0.002830,0.989740,bellman,0.000000,0,0.000000
rochester,0,3,0.002830,0.989760,bellman,0.000000,1,0.000000
rochester,0,4,0.002830,0.999430,bellman,0.000000,2,0.000000
rochester,0,5,0.002830,0.999690,bellman,0.000000,3,0.000000
rochester,1,2,0.002380,0.599380,bellman,0.000000,0,0.000000
rochester,1,3,0.002380,0.600670,bellman,0.000000,1,0.000000
rochester,1,4,0.002380,0.645900,bellman,0.000000,2,0.000000
rochester,1,5,0.002380,0.646840,bellman,0.000000,3,0.000000
torino,0,2,0.002630,0.994690,bellman,0.000000,0,0.000000
torino,0,3,0.002630,0.994690,bellman,0.000000,1,0.000000
torino,0,4,0.002630,0.999740,bellman,0.000000,2,0.000000
torino,0,5,0.002630,0.999920,bellman,0.000000,3,0.000000
torino,1,2,0.004720,0.565930,bellman,0.000000,6,0.000000
torino,1,3,0.004720,0.566890,bellman,0.000000,7,0.000000
torino,1,4,0.004720,0.597370,bellman,0.000000,8,0.000000
torino,1,5,0.004720,0.598440,bellman,0.000000,9,0.000000
vigo,0,2,0.001020,0.985320,bellman,0.000000,0,0.000000
vigo,0,3,0.001020,0.985320,bellman,0.000000,1,0.000000
vigo,0,4,0.001020,0.999280,bellman,0.000000,2,0.000000
vigo,0,5,0.001020,0.999360,bellman,0.000000,3,0.000000
vigo,1,2,0.000720,0.924910,bellman,0.000000,0,0.000000
vigo,1,3,0.000720,0.924920,bellman,0.000000,1,0.000000
vigo,1,4,0.000720,0.983930,bellman,0.000000,2,0.000000
vigo,1,5,0.000720,0.983930,bellman,0.000000,5,0.000000
