benchmark,circuit,backend,seed,n_qubits,depth,n_ops,q_n_qubits,q_depth,q_n_ops
rigetti,barenco_tof_3,fake_algiers,0,5,164,214,27,79,89
rigetti,barenco_tof_3,fake_algiers,0,5,164,214,27,130,189
rigetti,barenco_tof_3,fake_algiers,0,5,164,214,27,130,189
rigetti,barenco_tof_3,fake_almaden,0,5,164,214,20,250,295
rigetti,barenco_tof_3,fake_almaden,0,5,164,214,20,65,73
rigetti,barenco_tof_3,fake_almaden,0,5,164,214,20,60,79
rigetti,barenco_tof_3,fake_almaden,0,5,164,214,20,60,79
rigetti,barenco_tof_3,fake_athens,0,5,164,214,5,84,107
rigetti,barenco_tof_3,fake_athens,0,5,164,214,5,125,200
rigetti,barenco_tof_3,fake_athens,0,5,164,214,5,125,200
rigetti,barenco_tof_3,fake_auckland,0,5,164,214,27,79,89
rigetti,barenco_tof_3,fake_auckland,0,5,164,214,27,127,185
rigetti,barenco_tof_3,fake_auckland,0,5,164,214,27,127,185
rigetti,barenco_tof_3,fake_belem,0,5,164,214,5,82,95
rigetti,barenco_tof_3,fake_belem,0,5,164,214,5,129,191
rigetti,barenco_tof_3,fake_belem,0,5,164,214,5,129,191
rigetti,barenco_tof_3,fake_boeblingen,0,5,164,214,20,250,295
rigetti,barenco_tof_3,fake_boeblingen,0,5,164,214,20,65,73
rigetti,barenco_tof_3,fake_boeblingen,0,5,164,214,20,60,79
rigetti,barenco_tof_3,fake_boeblingen,0,5,164,214,20,60,79
rigetti,barenco_tof_3,fake_bogota,0,5,164,214,5,84,107
rigetti,barenco_tof_3,fake_bogota,0,5,164,214,5,121,205
rigetti,barenco_tof_3,fake_bogota,0,5,164,214,5,121,205
rigetti,barenco_tof_3,fake_brisbane,0,5,164,214,127,156,254
rigetti,barenco_tof_3,fake_brisbane,0,5,164,214,127,155,257
rigetti,barenco_tof_3,fake_brisbane,0,5,164,214,127,155,257
rigetti,barenco_tof_3,fake_brooklyn,0,5,164,214,65,79,89
rigetti,barenco_tof_3,fake_brooklyn,0,5,164,214,65,128,181
rigetti,barenco_tof_3,fake_brooklyn,0,5,164,214,65,128,181
rigetti,barenco_tof_3,fake_burlington,0,5,164,214,5,253,295
rigetti,barenco_tof_3,fake_burlington,0,5,164,214,5,66,75
rigetti,barenco_tof_3,fake_burlington,0,5,164,214,5,62,78
rigetti,barenco_tof_3,fake_burlington,0,5,164,214,5,62,78
rigetti,barenco_tof_3,fake_cairo,0,5,164,214,27,163,262
rigetti,barenco_tof_3,fake_cairo,0,5,164,214,27,143,242
rigetti,barenco_tof_3,fake_cairo,0,5,164,214,27,143,242
rigetti,barenco_tof_3,fake_cambridge,0,5,164,214,28,250,295
rigetti,barenco_tof_3,fake_cambridge,0,5,164,214,28,66,75
rigetti,barenco_tof_3,fake_cambridge,0,5,164,214,28,62,78
rigetti,barenco_tof_3,fake_cambridge,0,5,164,214,28,62,78
rigetti,barenco_tof_3,fake_casablanca,0,5,164,214,7,82,95
rigetti,barenco_tof_3,fake_casablanca,0,5,164,214,7,126,183
rigetti,barenco_tof_3,fake_casablanca,0,5,164,214,7,126,183
rigetti,barenco_tof_3,fake_cusco,0,5,164,214,127,155,247
rigetti,barenco_tof_3,fake_cusco,0,5,164,214,127,160,260
rigetti,barenco_tof_3,fake_cusco,0,5,164,214,127,160,258
rigetti,barenco_tof_3,fake_essex,0,5,164,214,5,253,295
rigetti,barenco_tof_3,fake_essex,0,5,164,214,5,66,75
rigetti,barenco_tof_3,fake_essex,0,5,164,214,5,62,78
rigetti,barenco_tof_3,fake_essex,0,5,164,214,5,62,78
rigetti,barenco_tof_3,fake_fez,0,5,164,214,156,161,202
rigetti,barenco_tof_3,fake_fez,0,5,164,214,156,130,176
rigetti,barenco_tof_3,fake_fez,0,5,164,214,156,130,176
rigetti,barenco_tof_3,fake_fractional,0,5,164,214,5,335,391
rigetti,barenco_tof_3,fake_fractional,0,5,164,214,5,82,95
rigetti,barenco_tof_3,fake_fractional,0,5,164,214,5,102,116
rigetti,barenco_tof_3,fake_fractional,0,5,164,214,5,102,116
rigetti,barenco_tof_3,fake_geneva,0,5,164,214,27,79,89
rigetti,barenco_tof_3,fake_geneva,0,5,164,214,27,128,188
rigetti,barenco_tof_3,fake_geneva,0,5,164,214,27,128,188
rigetti,barenco_tof_3,fake_guadalupe,0,5,164,214,16,79,89
rigetti,barenco_tof_3,fake_guadalupe,0,5,164,214,16,111,172
rigetti,barenco_tof_3,fake_guadalupe,0,5,164,214,16,111,172
rigetti,barenco_tof_3,fake_hanoi,0,5,164,214,27,79,89
rigetti,barenco_tof_3,fake_hanoi,0,5,164,214,27,128,191
rigetti,barenco_tof_3,fake_hanoi,0,5,164,214,27,128,191
rigetti,barenco_tof_3,fake_jakarta,0,5,164,214,7,82,95
rigetti,barenco_tof_3,fake_jakarta,0,5,164,214,7,132,182
rigetti,barenco_tof_3,fake_jakarta,0,5,164,214,7,132,182
rigetti,barenco_tof_3,fake_johannesburg,0,5,164,214,20,250,295
rigetti,barenco_tof_3,fake_johannesburg,0,5,164,214,20,69,81
rigetti,barenco_tof_3,fake_johannesburg,0,5,164,214,20,60,79
rigetti,barenco_tof_3,fake_johannesburg,0,5,164,214,20,60,79
rigetti,barenco_tof_3,fake_kawasaki,0,5,164,214,127,155,247
rigetti,barenco_tof_3,fake_kawasaki,0,5,164,214,127,151,276
rigetti,barenco_tof_3,fake_kawasaki,0,5,164,214,127,151,276
rigetti,barenco_tof_3,fake_kolkata,0,5,164,214,27,79,89
rigetti,barenco_tof_3,fake_kolkata,0,5,164,214,27,130,185
rigetti,barenco_tof_3,fake_kolkata,0,5,164,214,27,130,185
rigetti,barenco_tof_3,fake_kyiv,0,5,164,214,127,156,254
rigetti,barenco_tof_3,fake_kyiv,0,5,164,214,127,146,257
rigetti,barenco_tof_3,fake_kyiv,0,5,164,214,127,146,257
rigetti,barenco_tof_3,fake_kyoto,0,5,164,214,127,158,255
rigetti,barenco_tof_3,fake_kyoto,0,5,164,214,127,156,254
rigetti,barenco_tof_3,fake_kyoto,0,5,164,214,127,156,254
rigetti,barenco_tof_3,fake_lagos,0,5,164,214,7,82,95
rigetti,barenco_tof_3,fake_lagos,0,5,164,214,7,130,190
rigetti,barenco_tof_3,fake_lagos,0,5,164,214,7,130,190
rigetti,barenco_tof_3,fake_lima,0,5,164,214,5,82,95
rigetti,barenco_tof_3,fake_lima,0,5,164,214,5,130,189
rigetti,barenco_tof_3,fake_lima,0,5,164,214,5,130,189
rigetti,barenco_tof_3,fake_london,0,5,164,214,5,253,295
rigetti,barenco_tof_3,fake_london,0,5,164,214,5,66,75
rigetti,barenco_tof_3,fake_london,0,5,164,214,5,62,78
rigetti,barenco_tof_3,fake_london,0,5,164,214,5,62,78
rigetti,barenco_tof_3,fake_manhattan,0,5,164,214,65,79,89
rigetti,barenco_tof_3,fake_manhattan,0,5,164,214,65,119,176
rigetti,barenco_tof_3,fake_manhattan,0,5,164,214,65,119,176
rigetti,barenco_tof_3,fake_manila,0,5,164,214,5,84,107
